"Channel 3_x","Channel 3_y"
0.5223789215,0.2779,
1.528428793,0.2819,
2.538603544,0.2813,
3.544372082,0.2801,
4.550419569,0.2805,
5.556586981,0.279,
6.56248045,0.2798,
7.568419695,0.2819,
8.574487925,0.2827,
9.580651283,0.2804,
10.5867722,0.2843,
11.59292245,0.2822,
12.59847569,0.2827,
13.60463953,0.2819,
14.61088586,0.2789,
15.61718988,0.2797,
16.62278056,0.2806,
17.62994385,0.2821,
18.64221144,0.2822,
19.64842224,0.2822,
20.6544733,0.28,
21.65987635,0.2799,
22.6661613,0.2813,
23.67230034,0.2806,
24.67834401,0.2782,
25.68586111,0.2818,
26.69250202,0.283,
27.69983983,0.2827,
28.70601106,0.2814,
29.71234798,0.2843,
30.71939564,0.281,
31.7256093,0.2831,
32.73122239,0.2815,
33.73751569,0.2823,
34.74364114,0.2821,
35.74989748,0.2822,
36.7562604,0.2834,
37.76246762,0.2797,
38.76878119,0.2796,
39.77447438,0.2809,
40.78062463,0.2809,
41.78647542,0.2807,
42.79274321,0.2801,
43.79901099,0.2795,
44.80530405,0.2835,
45.81143546,0.2802,
46.81764197,0.2804,
47.82378626,0.2809,
48.82987332,0.2801,
49.8356297,0.2811,
50.84174037,0.2823,
51.84785581,0.2812,
52.85410237,0.2827,
53.85984826,0.2806,
54.86607409,0.2821,
55.87223792,0.2809,
56.8784976,0.2804,
57.88469386,0.2816,
58.89087343,0.2797,
59.89714599,0.2812,
60.90351415,0.2809,
61.90935922,0.2799,
62.91523409,0.2785,
63.92156076,0.2792,
64.92784762,0.2775,
65.93405581,0.2803,
66.94027686,0.2797,
67.94648218,0.2787,
68.95269036,0.2805,
69.95893931,0.2801,
70.96533084,0.2819,
71.97160697,0.2823,
72.97781205,0.2812,
73.98407745,0.2819,
74.98986125,0.2801,
75.9962523,0.2817,
77.00253773,0.2799,
78.00891256,0.2846,
79.01448607,0.2836,
80.02079415,0.2821,
81.02702236,0.2792,
82.03343415,0.2785,
83.03907442,0.2813,
84.0453198,0.279,
85.05152011,0.2812,
86.05767441,0.2783,
87.06403446,0.2797,
88.06987405,0.2816,
89.07605886,0.2832,
90.08228064,0.2788,
91.08854938,0.2794,
92.09477425,0.2797,
93.10101533,0.2831,
94.10649395,0.2804,
95.11264038,0.2799,
96.11890244,0.284,
97.12514997,0.2798,
98.13142896,0.2788,
99.13765144,0.2812,
100.1439271,0.2805,
101.1498487,0.2801,
102.1560884,0.2803,
103.1616569,0.2798,
104.1679015,0.2784,
105.1741533,0.2818,
106.1798525,0.2808,
107.1861346,0.2798,
108.1924586,0.2823,
109.1988473,0.2805,
110.2052176,0.2782,
111.2114785,0.2808,
112.2177188,0.2788,
113.22367,0.2801,
114.2298458,0.2796,
115.2360928,0.2819,
116.242404,0.2802,
117.2487123,0.2803,
118.2542503,0.2792,
119.2598846,0.2821,
120.2661979,0.2804,
121.2724712,0.2809,
122.2784963,0.281,
123.2847116,0.2783,
124.2904937,0.2798,
125.296757,0.2843,
126.303051,0.283,
127.3094215,0.2836,
128.3157027,0.282,
129.3219123,0.2794,
130.3280706,0.2801,
131.334301,0.2809,
132.3398445,0.2818,
133.3462143,0.2801,
134.3525777,0.28,
135.3590558,0.2827,
136.3654246,0.2788,
137.3716679,0.2802,
138.3779328,0.2805,
139.3843944,0.2816,
140.390487,0.2799,
141.3969429,0.2825,
142.4032145,0.281,
143.4095347,0.2803,
144.4158316,0.2822,
145.4221632,0.2828,
146.4283969,0.2814,
147.4347024,0.2806,
148.4410706,0.2793,
149.4474404,0.2811,
150.4537117,0.2811,
151.4600158,0.2812,
152.4663975,0.2799,
153.4727631,0.2812,
154.4784856,0.2813,
155.4842584,0.2813,
156.4898703,0.2802,
157.4961255,0.2806,
158.5024819,0.2806,
159.5087214,0.279,
160.5148516,0.2802,
161.5210032,0.2813,
162.526619,0.2824,
163.5328596,0.2781,
164.5392489,0.2814,
165.5456474,0.2786,
166.5519803,0.2803,
167.5583551,0.2787,
168.5648255,0.2802,
169.5704851,0.2812,
170.5769961,0.2806,
