EXPERIMENTAL DATA:c:\digitam\result\jbbase1.xpt        DATE 12-Sep-18
START TIME:  12:10       STOP TIME:  12:45       TOTAL TIME:  0:35
=============================================================================   
TIME	P	Q	P(corr)	Q(corr)	A.INPUT	A.INPUT	REMARK
sec	microW	mJ	microW	mJ	MV	MVs
                                                                                
2	-5.325	-0.005	 	 	 	 	FIRST PART #1
3	-5.669	-0.011	 	 	 	 	BASELINE
4	-5.497	-0.016	 	 	 	 	cond 1
5	-5.521	-0.022	 	 	 	 
6	-5.301	-0.027	 	 	 	 
7	-5.252	-0.033	 	 	 	 
8	-5.153	-0.038	 	 	 	 
9	-5.448	-0.043	 	 	 	 
10	-5.104	-0.048	 	 	 	 
11	-5.325	-0.054	 	 	 	 
12	-5.325	-0.059	 	 	 	 
13	-5.350	-0.064	 	 	 	 
14	-5.245	-0.070	 	 	 	 
15	-5.202	-0.075	 	 	 	 
16	-5.129	-0.080	 	 	 	 
17	-4.883	-0.085	 	 	 	 
18	-4.957	-0.090	 	 	 	 
19	-5.202	-0.095	 	 	 	 
20	-5.301	-0.100	 	 	 	 
21	-5.227	-0.105	 	 	 	 
22	-4.834	-0.110	 	 	 	 
23	-5.031	-0.115	 	 	 	 
24	-5.178	-0.120	 	 	 	 
25	-5.325	-0.126	 	 	 	 
26	-5.252	-0.131	 	 	 	 
27	-5.178	-0.136	 	 	 	 
28	-5.264	-0.141	 	 	 	 
29	-5.276	-0.147	 	 	 	 
30	-5.227	-0.152	 	 	 	 
31	-5.129	-0.157	 	 	 	 
32	-5.497	-0.163	 	 	 	 
33	-4.933	-0.168	 	 	 	 
34	-5.399	-0.173	 	 	 	 
35	-5.098	-0.178	 	 	 	 
36	-5.374	-0.183	 	 	 	 
37	-5.252	-0.189	 	 	 	 
38	-5.080	-0.194	 	 	 	 
39	-5.031	-0.199	 	 	 	 
40	-5.080	-0.204	 	 	 	 
41	-5.325	-0.209	 	 	 	 
42	-5.276	-0.214	 	 	 	 
43	-5.061	-0.220	 	 	 	 
44	-5.153	-0.225	 	 	 	 
45	-5.448	-0.230	 	 	 	 
46	-5.104	-0.235	 	 	 	 
47	-5.129	-0.240	 	 	 	 
48	-5.129	-0.245	 	 	 	 
49	-5.276	-0.251	 	 	 	 
50	-5.209	-0.256	 	 	 	 
51	-5.521	-0.261	 	 	 	 
52	-5.546	-0.267	 	 	 	 
53	-5.276	-0.272	 	 	 	 
54	-5.202	-0.278	 	 	 	 
55	-5.399	-0.283	 	 	 	 
56	-5.374	-0.288	 	 	 	 
57	-5.411	-0.294	 	 	 	 
58	-4.957	-0.299	 	 	 	 
59	-5.252	-0.304	 	 	 	 
60	-5.178	-0.309	 	 	 	 
61	-5.178	-0.314	 	 	 	 
62	-5.325	-0.320	 	 	 	 
63	-5.252	-0.325	 	 	 	 
64	-5.374	-0.330	 	 	 	 
65	-5.043	-0.335	 	 	 	 
66	-5.129	-0.340	 	 	 	 
67	-5.227	-0.346	 	 	 	 
68	-5.104	-0.351	 	 	 	 
69	-5.399	-0.356	 	 	 	 
70	-5.153	-0.361	 	 	 	 
71	-5.374	-0.367	 	 	 	 
72	-5.448	-0.372	 	 	 	 
73	-5.423	-0.378	 	 	 	 
74	-5.448	-0.383	 	 	 	 
75	-5.620	-0.389	 	 	 	 
76	-5.252	-0.394	 	 	 	 
77	-5.644	-0.399	 	 	 	 
78	-5.276	-0.405	 	 	 	 
79	-5.374	-0.410	 	 	 	 
80	-5.276	-0.415	 	 	 	 
81	-5.325	-0.421	 	 	 	 
82	-5.399	-0.426	 	 	 	 
83	-5.153	-0.431	 	 	 	 
84	-5.178	-0.436	 	 	 	 
85	-5.301	-0.442	 	 	 	 
86	-5.429	-0.447	 	 	 	 
87	-5.080	-0.452	 	 	 	 
88	-5.374	-0.458	 	 	 	 
89	-5.301	-0.463	 	 	 	 
90	-5.301	-0.468	 	 	 	 
91	-5.497	-0.474	 	 	 	 
92	-5.497	-0.479	 	 	 	 
93	-5.497	-0.485	 	 	 	 
94	-5.448	-0.490	 	 	 	 
95	-5.301	-0.495	 	 	 	 
96	-5.448	-0.501	 	 	 	 
97	-5.252	-0.506	 	 	 	 
98	-5.693	-0.512	 	 	 	 
99	-5.546	-0.517	 	 	 	 
100	-5.423	-0.523	 	 	 	 
101	-5.466	-0.528	 	 	 	 
102	-5.423	-0.534	 	 	 	 
103	-5.325	-0.539	 	 	 	 
104	-5.571	-0.545	 	 	 	 
105	-5.571	-0.550	 	 	 	 
106	-5.055	-0.555	 	 	 	 
107	-5.227	-0.560	 	 	 	 
108	-5.411	-0.566	 	 	 	 
109	-5.423	-0.571	 	 	 	 
110	-5.497	-0.577	 	 	 	 
111	-5.546	-0.582	 	 	 	 
112	-5.374	-0.588	 	 	 	 
113	-5.399	-0.593	 	 	 	 
114	-5.571	-0.599	 	 	 	 
115	-5.472	-0.604	 	 	 	 
116	-5.227	-0.609	 	 	 	 
117	-5.399	-0.615	 	 	 	 
118	-5.350	-0.620	 	 	 	 
119	-5.595	-0.626	 	 	 	 
120	-5.595	-0.631	 	 	 	 
121	-5.301	-0.637	 	 	 	 
122	-5.644	-0.642	 	 	 	 
123	-5.448	-0.648	 	 	 	 
124	-5.350	-0.653	 	 	 	 
125	-5.472	-0.659	 	 	 	 
126	-5.521	-0.664	 	 	 	 
127	-5.325	-0.669	 	 	 	 
128	-5.521	-0.675	 	 	 	 
129	-5.472	-0.680	 	 	 	 
130	-5.429	-0.686	 	 	 	 
131	-5.080	-0.691	 	 	 	 
132	-5.472	-0.696	 	 	 	 
133	-5.693	-0.702	 	 	 	 
134	-5.472	-0.708	 	 	 	 
