TIME	P	Q
s	uW	 J
61	239.632	0.000
62	238.773	0.000
63	237.914	0.001
64	237.227	0.001
65	236.368	0.001
66	235.632	0.001
67	234.994	0.002
68	234.086	0.002
69	233.350	0.002
70	232.540	0.002
71	231.902	0.003
72	231.141	0.003
73	230.356	0.003
74	229.546	0.003
75	228.859	0.004
76	228.196	0.004
77	227.362	0.004
78	226.675	0.004
79	226.061	0.004
80	225.276	0.005
81	224.589	0.005
82	223.828	0.005
83	223.141	0.005
84	222.405	0.006
85	221.767	0.006
86	220.957	0.006
87	220.294	0.006
88	219.632	0.006
89	218.945	0.007
90	218.233	0.007
91	217.546	0.007
92	216.883	0.007
93	216.172	0.008
94	215.509	0.008
95	214.871	0.008
96	214.209	0.008
97	213.546	0.008
98	212.883	0.009
99	212.270	0.009
100	211.607	0.009
101	210.920	0.009
102	210.233	0.009
103	209.595	0.010
104	208.957	0.010
105	208.307	0.010
106	207.436	0.010
107	206.871	0.010
108	206.037	0.011
109	205.571	0.011
110	204.834	0.011
111	204.344	0.011
112	203.558	0.011
113	202.969	0.012
114	202.503	0.012
115	201.767	0.012
116	201.227	0.012
117	200.491	0.013
118	199.804	0.013
119	199.264	0.013
120	198.699	0.013
121	198.110	0.013
122	197.521	0.013
123	196.834	0.014
124	196.294	0.014
125	195.779	0.014
126	195.166	0.014
127	194.429	0.014
128	193.791	0.015
129	193.080	0.015
130	192.491	0.015
131	191.902	0.015
132	191.411	0.015
133	190.920	0.016
134	190.307	0.016
135	189.669	0.016
136	189.129	0.016
137	188.466	0.016
138	187.951	0.017
139	187.337	0.017
140	186.736	0.017
141	186.110	0.017
142	185.595	0.017
143	184.957	0.018
144	184.393	0.018
145	183.877	0.018
146	183.313	0.018
147	182.724	0.018
148	182.233	0.018
149	181.546	0.019
150	180.957	0.019
151	180.564	0.019
152	180.074	0.019
153	179.337	0.019
154	178.798	0.020
155	178.233	0.020
156	177.693	0.020
157	177.104	0.020
158	176.540	0.020
159	176.000	0.020
160	175.534	0.021
161	174.969	0.021
162	174.528	0.021
163	174.012	0.021
164	173.472	0.021
165	172.982	0.021
166	172.362	0.022
167	171.706	0.022
168	171.264	0.022
169	170.626	0.022
170	170.209	0.022
171	169.644	0.022
172	169.178	0.023
173	168.712	0.023
174	168.172	0.023
175	167.681	0.023
176	167.141	0.023
177	166.626	0.023
178	166.209	0.024
179	165.755	0.024
180	165.006	0.024
181	164.564	0.024
182	164.049	0.024
183	163.607	0.024
184	163.166	0.025
185	162.675	0.025
186	162.110	0.025
187	161.571	0.025
188	161.153	0.025
189	160.613	0.025
190	160.221	0.026
191	159.681	0.026
192	159.221	0.026
193	158.577	0.026
194	158.135	0.026
195	157.669	0.026
196	157.153	0.027
197	156.736	0.027
198	156.368	0.027
199	155.779	0.027
200	155.362	0.027
201	154.822	0.027
202	154.429	0.027
203	153.963	0.028
204	153.497	0.028
205	152.945	0.028
206	152.442	0.028
207	152.025	0.028
208	151.583	0.028
209	151.067	0.029
210	150.675	0.029
211	150.184	0.029
212	149.693	0.029
213	149.178	0.029
214	148.883	0.029
215	148.442	0.029
216	147.951	0.030
217	147.534	0.030
218	147.000	0.030
219	146.479	0.030
220	145.988	0.030
221	145.571	0.030
222	145.153	0.030
223	144.810	0.031
224	144.344	0.031
225	143.828	0.031
226	143.460	0.031
227	143.043	0.031
228	142.577	0.031
229	142.184	0.031
230	141.669	0.032
231	141.166	0.032
232	140.859	0.032
233	140.294	0.032
234	139.951	0.032
235	139.558	0.032
236	139.043	0.032
237	138.650	0.033
238	138.233	0.033
239	137.718	0.033
240	137.521	0.033
241	136.957	0.033
242	136.540	0.033
243	136.196	0.033
244	135.810	0.034
245	135.264	0.034
246	134.798	0.034
247	134.405	0.034
248	134.086	0.034
249	133.669	0.034
250	133.153	0.034
251	132.883	0.034
252	132.417	0.035
253	132.000	0.035
254	131.509	0.035
255	131.313	0.035
256	130.920	0.035
257	130.399	0.035
258	129.890	0.035
259	129.571	0.036
260	129.129	0.036
261	128.834	0.036
262	128.344	0.036
263	127.951	0.036
264	127.509	0.036
265	127.215	0.036
266	126.896	0.036
267	126.454	0.037
268	126.135	0.037
269	125.644	0.037
270	125.319	0.037
271	124.785	0.037
272	124.442	0.037
273	124.074	0.037
274	123.730	0.037
275	123.288	0.038
276	122.969	0.038
277	122.724	0.038
278	122.356	0.038
279	121.963	0.038
280	121.595	0.038
281	121.202	0.038
282	120.834	0.038
283	120.479	0.039
284	119.951	0.039
285	119.632	0.039
286	119.386	0.039
287	118.945	0.039
288	118.601	0.039
289	118.209	0.039
290	117.840	0.039
291	117.620	0.039
292	117.104	0.040
293	116.859	0.040
294	116.589	0.040
295	116.221	0.040
296	115.656	0.040
297	115.264	0.040
298	114.896	0.040
299	114.773	0.040
300	114.356	0.041
301	113.939	0.041
302	113.595	0.041
303	113.301	0.041
304	112.982	0.041
305	112.613	0.041
306	112.294	0.041
307	111.828	0.041
308	111.558	0.041
309	111.294	0.042
310	110.847	0.042
311	110.528	0.042
312	110.086	0.042
313	109.791	0.042
314	109.620	0.042
315	109.252	0.042
316	108.883	0.042
317	108.540	0.042
318	108.172	0.043
319	107.804	0.043
320	107.534	0.043
321	107.239	0.043
322	106.877	0.043
323	106.454	0.043
324	106.160	0.043
325	105.816	0.043
326	105.472	0.043
327	105.227	0.043
328	104.982	0.044
329	104.613	0.044
330	104.270	0.044
331	103.975	0.044
332	103.583	0.044
333	103.288	0.044
334	102.945	0.044
335	102.663	0.044
336	102.233	0.044
337	101.988	0.045
338	101.718	0.045
339	101.423	0.045
340	101.129	0.045
341	100.834	0.045
342	100.417	0.045
343	100.147	0.045
344	99.779	0.045
345	99.583	0.045
346	99.362	0.045
347	98.994	0.046
348	98.632	0.046
349	98.307	0.046
350	97.939	0.046
351	97.718	0.046
352	97.448	0.046
353	97.153	0.046
354	96.736	0.046
355	96.540	0.046
356	96.245	0.046
357	95.877	0.046
358	95.681	0.047
359	95.436	0.047
360	95.092	0.047
361	94.748	0.047
362	94.380	0.047
363	94.110	0.047
364	93.865	0.047
365	93.767	0.047
366	93.325	0.047
367	93.080	0.047
368	92.736	0.048
369	92.540	0.048
370	92.123	0.048
371	91.902	0.048
372	91.656	0.048
373	91.460	0.048
374	91.067	0.048
375	90.773	0.048
376	90.503	0.048
377	90.233	0.048
378	90.061	0.048
379	89.620	0.049
380	89.546	0.049
381	89.153	0.049
382	88.957	0.049
383	88.613	0.049
384	88.270	0.049
385	88.049	0.049
386	87.828	0.049
387	87.479	0.049
388	87.215	0.049
389	86.871	0.049
390	86.650	0.049
391	86.356	0.050
392	86.233	0.050
393	85.767	0.050
394	85.595	0.050
395	85.325	0.050
396	85.104	0.050
397	84.785	0.050
398	84.687	0.050
399	84.344	0.050
400	84.055	0.050
401	83.730	0.050
402	83.509	0.051
403	83.288	0.051
404	82.945	0.051
405	82.798	0.051
406	82.479	0.051
407	82.258	0.051
408	82.012	0.051
409	81.890	0.051
410	81.497	0.051
411	81.301	0.051
412	80.982	0.051
413	80.761	0.051
414	80.540	0.051
415	80.245	0.052
416	79.902	0.052
417	79.681	0.052
418	79.558	0.052
419	79.215	0.052
420	78.994	0.052
421	78.724	0.052
422	78.528	0.052
423	78.454	0.052
424	78.037	0.052
425	77.816	0.052
426	77.558	0.052
427	77.252	0.053
428	77.080	0.053
429	76.810	0.053
430	76.638	0.053
431	76.368	0.053
432	76.074	0.053
433	75.877	0.053
434	75.730	0.053
435	75.436	0.053
436	75.190	0.053
437	74.871	0.053
438	74.552	0.053
439	74.466	0.053
440	74.209	0.054
441	73.914	0.054
442	73.742	0.054
443	73.571	0.054
444	73.276	0.054
445	73.006	0.054
446	72.908	0.054
447	72.712	0.054
448	72.393	0.054
449	72.245	0.054
450	72.025	0.054
451	71.607	0.054
452	71.558	0.054
453	71.264	0.054
454	71.092	0.055
455	70.822	0.055
456	70.601	0.055
457	70.454	0.055
458	70.233	0.055
459	70.037	0.055
460	69.693	0.055
461	69.546	0.055
462	69.325	0.055
463	69.153	0.055
464	68.957	0.055
465	68.687	0.055
466	68.393	0.055
467	68.196	0.055
468	68.049	0.055
469	67.779	0.056
470	67.730	0.056
471	67.460	0.056
472	67.215	0.056
473	67.067	0.056
474	66.773	0.056
475	66.675	0.056
476	66.454	0.056
477	66.307	0.056
478	66.055	0.056
479	65.791	0.056
480	65.644	0.056
481	65.423	0.056
482	65.153	0.056
483	65.055	0.056
484	64.834	0.057
485	64.613	0.057
486	64.417	0.057
487	64.294	0.057
488	64.025	0.057
489	63.926	0.057
490	63.583	0.057
491	63.405	0.057
492	63.215	0.057
493	62.969	0.057
494	62.748	0.057
495	62.650	0.057
496	62.405	0.057
497	62.258	0.057
498	62.061	0.057
499	61.865	0.057
500	61.718	0.058
501	61.472	0.058
502	61.325	0.058
503	61.080	0.058
504	60.810	0.058
505	60.712	0.058
506	60.540	0.058
507	60.368	0.058
508	60.172	0.058
509	59.926	0.058
510	59.779	0.058
511	59.534	0.058
512	59.436	0.058
513	59.215	0.058
514	59.092	0.058
515	58.994	0.058
516	58.724	0.059
517	58.564	0.059
518	58.282	0.059
519	58.135	0.059
520	57.865	0.059
521	57.791	0.059
522	57.620	0.059
523	57.399	0.059
524	57.227	0.059
525	57.129	0.059
526	56.908	0.059
527	56.687	0.059
528	56.491	0.059
529	56.368	0.059
530	56.117	0.059
531	55.902	0.059
532	55.828	0.059
533	55.558	0.059
534	55.436	0.060
535	55.313	0.060
536	55.190	0.060
537	54.945	0.060
538	54.798	0.060
539	54.601	0.060
540	54.479	0.060
541	54.233	0.060
542	54.135	0.060
543	53.890	0.060
544	53.742	0.060
545	53.521	0.060
546	53.374	0.060
547	53.227	0.060
548	53.031	0.060
549	52.908	0.060
550	52.736	0.060
551	52.613	0.060
552	52.393	0.061
553	52.270	0.061
554	52.074	0.061
555	51.926	0.061
556	51.718	0.061
557	51.583	0.061
558	51.411	0.061
559	51.215	0.061
560	51.117	0.061
561	50.994	0.061
562	50.871	0.061
563	50.675	0.061
564	50.503	0.061
565	50.282	0.061
566	50.258	0.061
567	49.988	0.061
568	49.767	0.061
