TIME	P	Q	P(corr)	Q(corr)
s	mW	 J	mW	 J
1	-0.066	0.000	-0.069	0.000
2	-0.066	0.000	-0.069	0.000
3	-0.066	0.000	-0.069	0.000
4	-0.066	0.000	-0.069	0.000
5	-0.066	0.000	-0.069	0.000
6	-0.066	0.000	-0.069	0.000
7	-0.066	0.000	-0.069	0.000
8	-0.066	-0.001	-0.069	-0.001
9	-0.066	-0.001	-0.069	-0.001
10	-0.066	-0.001	-0.069	-0.001
11	-0.066	-0.001	-0.069	-0.001
12	-0.066	-0.001	-0.069	-0.001
13	-0.066	-0.001	-0.069	-0.001
14	-0.066	-0.001	-0.069	-0.001
15	-0.066	-0.001	-0.069	-0.001
16	-0.066	-0.001	-0.069	-0.001
17	-0.066	-0.001	-0.069	-0.001
18	-0.066	-0.001	-0.068	-0.001
19	-0.066	-0.001	-0.068	-0.001
20	-0.066	-0.001	-0.068	-0.001
21	-0.066	-0.001	-0.068	-0.001
22	-0.066	-0.001	-0.068	-0.002
23	-0.066	-0.002	-0.068	-0.002
24	-0.066	-0.002	-0.068	-0.002
25	-0.066	-0.002	-0.068	-0.002
26	-0.067	-0.002	-0.068	-0.002
27	-0.066	-0.002	-0.068	-0.002
28	-0.066	-0.002	-0.068	-0.002
29	-0.066	-0.002	-0.068	-0.002
30	-0.066	-0.002	-0.067	-0.002
31	-0.066	-0.002	-0.067	-0.002
32	-0.066	-0.002	-0.067	-0.002
33	-0.067	-0.002	-0.067	-0.002
34	-0.067	-0.002	-0.067	-0.002
35	-0.067	-0.002	-0.067	-0.002
36	-0.067	-0.002	-0.067	-0.002
37	-0.067	-0.002	-0.067	-0.003
38	-0.067	-0.003	-0.067	-0.003
39	-0.067	-0.003	-0.067	-0.003
40	-0.067	-0.003	-0.067	-0.003
41	-0.067	-0.003	-0.067	-0.003
42	-0.067	-0.003	-0.067	-0.003
43	-0.066	-0.003	-0.067	-0.003
44	-0.067	-0.003	-0.067	-0.003
45	-0.067	-0.003	-0.067	-0.003
46	-0.067	-0.003	-0.066	-0.003
47	-0.067	-0.003	-0.066	-0.003
48	-0.067	-0.003	-0.066	-0.003
49	-0.067	-0.003	-0.066	-0.003
50	-0.067	-0.003	-0.066	-0.003
51	-0.067	-0.003	-0.066	-0.003
52	-0.067	-0.003	-0.066	-0.004
53	-0.067	-0.004	-0.066	-0.004
54	-0.067	-0.004	-0.066	-0.004
55	-0.067	-0.004	-0.066	-0.004
56	-0.067	-0.004	-0.066	-0.004
57	-0.067	-0.004	-0.066	-0.004
58	-0.067	-0.004	-0.066	-0.004
59	-0.067	-0.004	-0.066	-0.004
60	-0.067	-0.004	-0.066	-0.004
61	-0.067	-0.004	-0.066	-0.004
62	-0.067	-0.004	-0.067	-0.004
63	-0.067	-0.004	-0.067	-0.004
64	-0.067	-0.004	-0.067	-0.004
65	-0.067	-0.004	-0.067	-0.004
66	-0.067	-0.004	-0.067	-0.004
67	-0.067	-0.004	-0.067	-0.005
68	-0.067	-0.005	-0.067	-0.005
69	-0.067	-0.005	-0.067	-0.005
70	-0.067	-0.005	-0.067	-0.005
71	-0.067	-0.005	-0.067	-0.005
72	-0.067	-0.005	-0.067	-0.005
73	-0.067	-0.005	-0.067	-0.005
74	-0.067	-0.005	-0.067	-0.005
75	-0.067	-0.005	-0.067	-0.005
76	-0.067	-0.005	-0.067	-0.005
77	-0.067	-0.005	-0.067	-0.005
78	-0.067	-0.005	-0.067	-0.005
79	-0.067	-0.005	-0.067	-0.005
