TIME	P	Q	P(corr)	Q(corr)
s	mW	mJ	mW	mJ
1	-0.197	-0.197	-0.197	-0.197
2	-0.197	-0.394	-0.197	-0.395
3	-0.197	-0.591	-0.197	-0.592
4	-0.197	-0.788	-0.197	-0.789
5	-0.197	-0.985	-0.197	-0.987
6	-0.197	-1.182	-0.197	-1.184
7	-0.197	-1.379	-0.197	-1.382
8	-0.197	-1.576	-0.197	-1.579
9	-0.197	-1.773	-0.197	-1.776
10	-0.197	-1.970	-0.197	-1.974
11	-0.197	-2.167	-0.197	-2.171
12	-0.197	-2.364	-0.197	-2.368
13	-0.197	-2.561	-0.197	-2.565
14	-0.197	-2.757	-0.197	-2.763
15	-0.197	-2.954	-0.197	-2.960
16	-0.197	-3.151	-0.197	-3.157
17	-0.197	-3.348	-0.197	-3.355
18	-0.197	-3.545	-0.197	-3.552
19	-0.197	-3.742	-0.197	-3.749
20	-0.197	-3.939	-0.197	-3.946
21	-0.197	-4.136	-0.197	-4.144
22	-0.197	-4.333	-0.197	-4.341
23	-0.197	-4.530	-0.197	-4.538
24	-0.197	-4.727	-0.197	-4.735
25	-0.197	-4.924	-0.197	-4.933
26	-0.197	-5.121	-0.197	-5.130
27	-0.197	-5.317	-0.197	-5.327
28	-0.197	-5.514	-0.197	-5.524
29	-0.197	-5.711	-0.197	-5.721
30	-0.197	-5.908	-0.197	-5.918
31	-0.197	-6.105	-0.197	-6.116
32	-0.197	-6.302	-0.197	-6.313
33	-0.197	-6.499	-0.197	-6.510
34	-0.197	-6.695	-0.197	-6.707
35	-0.197	-6.892	-0.197	-6.904
36	-0.197	-7.089	-0.197	-7.101
37	-0.197	-7.286	-0.197	-7.299
38	-0.197	-7.482	-0.197	-7.496
39	-0.197	-7.679	-0.197	-7.693
40	-0.197	-7.876	-0.197	-7.890
41	-0.197	-8.073	-0.197	-8.087
42	-0.197	-8.269	-0.197	-8.284
43	-0.197	-8.466	-0.197	-8.481
44	-0.197	-8.663	-0.197	-8.678
45	-0.197	-8.859	-0.197	-8.875
46	-0.197	-9.056	-0.197	-9.072
47	-0.197	-9.252	-0.197	-9.270
48	-0.197	-9.449	-0.197	-9.467
49	-0.197	-9.646	-0.197	-9.664
50	-0.197	-9.842	-0.197	-9.861
51	-0.197	-10.039	-0.197	-10.058
52	-0.197	-10.236	-0.197	-10.255
53	-0.197	-10.433	-0.197	-10.452
54	-0.197	-10.630	-0.197	-10.649
55	-0.197	-10.826	-0.197	-10.846
56	-0.197	-11.023	-0.197	-11.043
57	-0.197	-11.220	-0.197	-11.240
58	-0.197	-11.417	-0.197	-11.437
59	-0.197	-11.614	-0.197	-11.634
60	-0.197	-11.810	-0.197	-11.831
61	-0.197	-12.007	-0.197	-12.028
62	-0.197	-12.204	-0.197	-12.225
63	-0.197	-12.400	-0.197	-12.422
64	-0.197	-12.597	-0.197	-12.619
65	-0.197	-12.794	-0.197	-12.816
66	-0.197	-12.990	-0.197	-13.013
