TIME	P	Q	P(corr)	Q(corr)
s	uW	mJ	uW	mJ
1	-35.877	-0.036	-33.998	-0.034
2	-35.926	-0.072	-34.039	-0.068
3	-36.000	-0.108	-34.079	-0.102
4	-36.025	-0.144	-34.120	-0.136
5	-36.098	-0.180	-34.161	-0.170
6	-36.025	-0.216	-34.202	-0.205
7	-36.074	-0.252	-34.244	-0.239
8	-36.172	-0.288	-34.285	-0.273
9	-36.196	-0.324	-34.326	-0.307
10	-36.258	-0.361	-34.368	-0.342
11	-36.294	-0.397	-34.409	-0.376
12	-36.270	-0.433	-34.451	-0.411
13	-36.098	-0.469	-34.492	-0.445
14	-36.344	-0.506	-34.534	-0.480
15	-36.270	-0.542	-34.575	-0.514
16	-36.319	-0.578	-34.616	-0.549
17	-36.294	-0.615	-34.657	-0.584
18	-36.393	-0.651	-34.698	-0.618
19	-36.344	-0.687	-34.739	-0.653
20	-36.417	-0.724	-34.779	-0.688
21	-36.417	-0.760	-34.819	-0.723
22	-36.442	-0.797	-34.859	-0.757
23	-36.350	-0.833	-34.899	-0.792
24	-36.491	-0.869	-34.938	-0.827
25	-36.491	-0.906	-34.977	-0.862
26	-36.417	-0.942	-35.016	-0.897
27	-36.491	-0.979	-35.054	-0.932
28	-36.466	-1.015	-35.092	-0.967
29	-36.491	-1.052	-35.129	-1.003
30	-36.515	-1.088	-35.166	-1.038
31	-36.638	-1.125	-35.203	-1.073
32	-36.564	-1.161	-35.239	-1.108
33	-36.564	-1.198	-35.274	-1.143
34	-36.540	-1.235	-35.309	-1.179
35	-36.613	-1.271	-35.343	-1.214
36	-36.644	-1.308	-35.377	-1.249
37	-36.761	-1.345	-35.410	-1.285
38	-36.638	-1.381	-35.443	-1.320
39	-36.761	-1.418	-35.475	-1.356
40	-36.712	-1.455	-35.506	-1.391
41	-36.810	-1.492	-35.537	-1.427
42	-36.785	-1.528	-35.567	-1.462
43	-36.908	-1.565	-35.597	-1.498
44	-36.810	-1.602	-35.626	-1.534
45	-36.957	-1.639	-35.655	-1.569
46	-36.933	-1.676	-35.682	-1.605
47	-36.933	-1.713	-35.710	-1.641
48	-36.908	-1.750	-35.736	-1.676
49	-36.994	-1.787	-35.763	-1.712
50	-36.957	-1.824	-35.788	-1.748
51	-37.104	-1.861	-35.813	-1.784
52	-37.080	-1.898	-35.838	-1.820
53	-37.153	-1.935	-35.862	-1.855
54	-37.080	-1.972	-35.886	-1.891
55	-37.129	-2.009	-35.909	-1.927
56	-37.252	-2.046	-35.932	-1.963
57	-37.153	-2.084	-35.954	-1.999
58	-37.202	-2.121	-35.976	-2.035
59	-37.301	-2.158	-35.998	-2.071
60	-37.227	-2.195	-36.019	-2.107
61	-37.423	-2.233	-36.040	-2.143
62	-37.252	-2.270	-36.061	-2.179
63	-37.178	-2.307	-36.081	-2.215
64	-37.276	-2.345	-36.102	-2.251
65	-37.399	-2.382	-36.122	-2.288
66	-37.325	-2.419	-36.142	-2.324
67	-37.374	-2.457	-36.161	-2.360
68	-37.571	-2.494	-36.181	-2.396
69	-37.546	-2.532	-36.201	-2.432
70	-37.423	-2.569	-36.220	-2.468
71	-37.546	-2.607	-36.240	-2.505
72	-37.521	-2.644	-36.259	-2.541
73	-37.546	-2.682	-36.278	-2.577
74	-37.620	-2.719	-36.298	-2.614
75	-37.620	-2.757	-36.317	-2.650
76	-37.693	-2.795	-36.337	-2.686
77	-37.693	-2.832	-36.356	-2.723
78	-37.742	-2.870	-36.376	-2.759
79	-37.718	-2.908	-36.395	-2.795
80	-37.620	-2.945	-36.415	-2.832
81	-37.816	-2.983	-36.435	-2.868
82	-37.816	-3.021	-36.455	-2.905
83	-37.791	-3.059	-36.475	-2.941
84	-37.890	-3.097	-36.496	-2.978
85	-37.988	-3.135	-36.516	-3.014
86	-38.037	-3.173	-36.537	-3.051
87	-38.037	-3.211	-36.557	-3.087
88	-37.951	-3.249	-36.578	-3.124
89	-38.160	-3.287	-36.599	-3.160
90	-38.061	-3.325	-36.620	-3.197
91	-38.184	-3.363	-36.642	-3.234
92	-38.233	-3.401	-36.663	-3.270
93	-38.233	-3.440	-36.685	-3.307
94	-38.356	-3.478	-36.706	-3.344
95	-38.209	-3.516	-36.728	-3.380
96	-38.307	-3.555	-36.750	-3.417
97	-38.209	-3.593	-36.772	-3.454
98	-38.356	-3.631	-36.794	-3.491
99	-38.429	-3.670	-36.817	-3.528
100	-38.405	-3.708	-36.839	-3.564
101	-38.411	-3.746	-36.862	-3.601
102	-38.356	-3.785	-36.885	-3.638
103	-38.503	-3.823	-36.907	-3.675
104	-38.577	-3.862	-36.931	-3.712
105	-38.601	-3.900	-36.954	-3.749
106	-38.650	-3.939	-36.977	-3.786
107	-38.699	-3.978	-37.001	-3.823
108	-38.773	-4.016	-37.025	-3.860
109	-38.822	-4.055	-37.049	-3.897
110	-38.748	-4.094	-37.073	-3.934
111	-38.822	-4.133	-37.097	-3.971
112	-38.822	-4.172	-37.121	-4.008
113	-38.945	-4.211	-37.146	-4.045
114	-38.945	-4.250	-37.170	-4.083
115	-38.994	-4.289	-37.195	-4.120
116	-39.117	-4.328	-37.220	-4.157
117	-39.117	-4.367	-37.246	-4.194
118	-39.141	-4.406	-37.271	-4.232
119	-39.166	-4.445	-37.297	-4.269
120	-39.117	-4.484	-37.323	-4.306
121	-39.362	-4.524	-37.349	-4.343
122	-39.313	-4.563	-37.375	-4.381
123	-39.215	-4.602	-37.401	-4.418
124	-39.239	-4.641	-37.428	-4.456
125	-39.337	-4.681	-37.455	-4.493
126	-39.411	-4.720	-37.482	-4.531
127	-39.423	-4.760	-37.509	-4.568
128	-39.558	-4.799	-37.536	-4.606
129	-39.509	-4.839	-37.564	-4.643
130	-39.485	-4.878	-37.592	-4.681
131	-39.485	-4.918	-37.620	-4.718
132	-39.730	-4.957	-37.649	-4.756
133	-39.730	-4.997	-37.677	-4.794
134	-40.025	-5.037	-37.706	-4.831
135	-40.442	-5.078	-37.735	-4.869
136	-40.613	-5.118	-37.764	-4.907
137	-40.834	-5.159	-37.794	-4.945
138	-41.080	-5.200	-37.823	-4.983
139	-41.301	-5.241	-37.853	-5.020
140	-41.429	-5.283	-37.884	-5.058
141	-41.718	-5.324	-37.914	-5.096
142	-41.742	-5.366	-37.945	-5.134
143	-41.816	-5.408	-37.975	-5.172
144	-41.816	-5.450	-38.007	-5.210
145	-42.037	-5.492	-38.038	-5.248
146	-42.012	-5.534	-38.070	-5.286
147	-42.086	-5.576	-38.102	-5.324
148	-42.037	-5.618	-38.135	-5.363
149	-42.135	-5.660	-38.168	-5.401
150	-42.258	-5.702	-38.202	-5.439
151	-42.307	-5.745	-38.236	-5.477
152	-42.258	-5.787	-38.271	-5.515
153	-42.331	-5.829	-38.307	-5.554
154	-42.503	-5.872	-38.343	-5.592
155	-42.528	-5.914	-38.380	-5.630
156	-42.503	-5.957	-38.418	-5.669
157	-42.577	-5.999	-38.457	-5.707
158	-42.528	-6.042	-38.497	-5.746
159	-42.601	-6.085	-38.537	-5.784
160	-42.699	-6.127	-38.579	-5.823
161	-42.626	-6.170	-38.622	-5.862
162	-42.773	-6.213	-38.666	-5.900
163	-42.724	-6.255	-38.710	-5.939
164	-42.699	-6.298	-38.757	-5.978
165	-42.920	-6.341	-38.804	-6.016
166	-42.883	-6.384	-38.852	-6.055
167	-42.847	-6.427	-38.902	-6.094
168	-42.994	-6.470	-38.953	-6.133
169	-42.969	-6.513	-39.005	-6.172
170	-43.092	-6.556	-39.059	-6.211
171	-43.067	-6.599	-39.114	-6.250
172	-43.018	-6.642	-39.170	-6.290
173	-43.166	-6.685	-39.228	-6.329
174	-43.166	-6.728	-39.287	-6.368
175	-43.117	-6.771	-39.348	-6.407
176	-43.215	-6.815	-39.409	-6.447
177	-43.215	-6.858	-39.472	-6.486
178	-43.190	-6.901	-39.537	-6.526
179	-43.252	-6.944	-39.602	-6.565
180	-43.386	-6.988	-39.669	-6.605
181	-43.239	-7.031	-39.737	-6.645
182	-43.313	-7.074	-39.806	-6.685
183	-43.288	-7.117	-39.876	-6.725
184	-43.264	-7.161	-39.947	-6.764
185	-43.436	-7.204	-40.019	-6.804
186	-43.436	-7.248	-40.093	-6.845
187	-43.362	-7.291	-40.166	-6.885
188	-43.558	-7.334	-40.241	-6.925
189	-43.534	-7.378	-40.316	-6.965
190	-43.558	-7.422	-40.392	-7.006
191	-43.583	-7.465	-40.468	-7.046
192	-43.638	-7.509	-40.545	-7.087
193	-43.607	-7.552	-40.622	-7.127
194	-43.656	-7.596	-40.699	-7.168
195	-43.755	-7.640	-40.776	-7.209
196	-43.804	-7.684	-40.854	-7.250
197	-43.804	-7.727	-40.931	-7.291
198	-43.902	-7.771	-41.008	-7.332
199	-43.828	-7.815	-41.084	-7.373
200	-43.877	-7.859	-41.161	-7.414
201	-44.098	-7.903	-41.237	-7.455
202	-43.951	-7.947	-41.312	-7.496
203	-43.926	-7.991	-41.386	-7.538
204	-44.147	-8.035	-41.460	-7.579
205	-44.245	-8.079	-41.533	-7.621
206	-44.245	-8.124	-41.605	-7.662
207	-44.172	-8.168	-41.676	-7.704
208	-44.172	-8.212	-41.747	-7.746
209	-44.270	-8.256	-41.815	-7.788
210	-44.221	-8.300	-41.883	-7.829
211	-44.344	-8.345	-41.950	-7.871
212	-44.344	-8.389	-42.015	-7.913
213	-44.270	-8.433	-42.079	-7.956
214	-44.294	-8.478	-42.142	-7.998
215	-44.344	-8.522	-42.203	-8.040
216	-44.393	-8.566	-42.263	-8.082
217	-44.393	-8.611	-42.322	-8.124
218	-44.448	-8.655	-42.379	-8.167
219	-44.564	-8.700	-42.435	-8.209
220	-44.589	-8.744	-42.490	-8.252
221	-44.564	-8.789	-42.543	-8.294
222	-44.687	-8.834	-42.594	-8.337
223	-44.687	-8.878	-42.645	-8.380
224	-44.663	-8.923	-42.694	-8.422
225	-44.687	-8.968	-42.742	-8.465
226	-44.712	-9.012	-42.788	-8.508
227	-44.638	-9.057	-42.834	-8.551
228	-44.712	-9.102	-42.878	-8.593
229	-44.663	-9.146	-42.921	-8.636
230	-44.687	-9.191	-42.963	-8.679
231	-44.834	-9.236	-43.004	-8.722
232	-44.933	-9.281	-43.044	-8.765
233	-44.982	-9.326	-43.083	-8.808
234	-45.104	-9.371	-43.121	-8.852
