TIME	P	Q	P(corr)	Q(corr)
s	mW	mJ	mW	mJ
1	-0.631	-0.631	-0.641	-0.641
2	-0.631	-1.263	-0.641	-1.281
3	-0.631	-1.894	-0.641	-1.922
4	-0.631	-2.525	-0.641	-2.563
5	-0.631	-3.156	-0.641	-3.204
6	-0.631	-3.788	-0.641	-3.845
7	-0.632	-4.420	-0.641	-4.486
8	-0.631	-5.051	-0.641	-5.127
9	-0.632	-5.683	-0.641	-5.769
10	-0.632	-6.316	-0.642	-6.410
11	-0.632	-6.948	-0.642	-7.052
12	-0.632	-7.580	-0.642	-7.694
13	-0.632	-8.213	-0.642	-8.336
14	-0.632	-8.845	-0.642	-8.979
15	-0.632	-9.478	-0.642	-9.621
16	-0.632	-10.110	-0.643	-10.264
17	-0.633	-10.743	-0.643	-10.906
18	-0.632	-11.376	-0.643	-11.549
19	-0.633	-12.008	-0.643	-12.192
20	-0.632	-12.641	-0.643	-12.835
21	-0.632	-13.273	-0.643	-13.478
22	-0.633	-13.906	-0.643	-14.121
23	-0.633	-14.539	-0.643	-14.764
24	-0.633	-15.172	-0.643	-15.407
25	-0.634	-15.806	-0.643	-16.050
26	-0.633	-16.439	-0.643	-16.693
27	-0.633	-17.072	-0.644	-17.337
28	-0.633	-17.705	-0.644	-17.981
29	-0.633	-18.338	-0.644	-18.625
30	-0.634	-18.972	-0.644	-19.269
31	-0.634	-19.606	-0.644	-19.913
32	-0.634	-20.239	-0.644	-20.558
33	-0.634	-20.873	-0.644	-21.202
34	-0.634	-21.506	-0.644	-21.847
35	-0.634	-22.140	-0.645	-22.491
36	-0.634	-22.773	-0.645	-23.136
37	-0.634	-23.407	-0.645	-23.780
38	-0.634	-24.041	-0.645	-24.425
39	-0.634	-24.675	-0.645	-25.070
40	-0.634	-25.309	-0.645	-25.715
41	-0.634	-25.943	-0.645	-26.359
42	-0.634	-26.577	-0.645	-27.004
43	-0.635	-27.212	-0.645	-27.649
44	-0.634	-27.846	-0.645	-28.294
45	-0.634	-28.480	-0.645	-28.939
46	-0.635	-29.115	-0.645	-29.585
47	-0.635	-29.750	-0.645	-30.230
48	-0.634	-30.384	-0.645	-30.875
49	-0.635	-31.018	-0.645	-31.521
50	-0.635	-31.653	-0.645	-32.166
51	-0.635	-32.288	-0.645	-32.812
52	-0.634	-32.922	-0.645	-33.457
53	-0.635	-33.557	-0.645	-34.102
54	-0.635	-34.191	-0.645	-34.748
55	-0.635	-34.826	-0.645	-35.393
56	-0.635	-35.461	-0.646	-36.039
57	-0.635	-36.096	-0.646	-36.684
58	-0.635	-36.730	-0.646	-37.330
59	-0.635	-37.365	-0.646	-37.976
60	-0.635	-38.000	-0.646	-38.622
61	-0.636	-38.636	-0.646	-39.268
62	-0.636	-39.272	-0.646	-39.914
63	-0.635	-39.908	-0.646	-40.561
64	-0.636	-40.543	-0.646	-41.207
65	-0.636	-41.179	-0.646	-41.853
66	-0.635	-41.815	-0.646	-42.500
67	-0.636	-42.451	-0.646	-43.146
68	-0.635	-43.086	-0.646	-43.792
69	-0.636	-43.722	-0.646	-44.439
70	-0.636	-44.358	-0.646	-45.085
71	-0.636	-44.994	-0.646	-45.731
72	-0.636	-45.629	-0.646	-46.378
73	-0.636	-46.266	-0.646	-47.024
74	-0.636	-46.902	-0.646	-47.670
75	-0.636	-47.537	-0.646	-48.316
76	-0.637	-48.174	-0.646	-48.963
77	-0.636	-48.810	-0.646	-49.609
78	-0.636	-49.446	-0.646	-50.255
79	-0.636	-50.082	-0.646	-50.902
80	-0.636	-50.719	-0.647	-51.548
81	-0.637	-51.356	-0.647	-52.195
82	-0.637	-51.992	-0.646	-52.841
83	-0.637	-52.629	-0.646	-53.488
84	-0.637	-53.266	-0.646	-54.134
85	-0.637	-53.902	-0.646	-54.781
86	-0.637	-54.539	-0.646	-55.427
87	-0.636	-55.176	-0.646	-56.074
88	-0.637	-55.812	-0.646	-56.720
89	-0.637	-56.449	-0.647	-57.367
90	-0.637	-57.086	-0.647	-58.013
91	-0.637	-57.723	-0.647	-58.660
92	-0.637	-58.360	-0.647	-59.306
93	-0.637	-58.997	-0.646	-59.953
94	-0.637	-59.634	-0.646	-60.599
95	-0.637	-60.271	-0.646	-61.246
96	-0.637	-60.908	-0.646	-61.892
97	-0.637	-61.545	-0.647	-62.539
98	-0.637	-62.182	-0.647	-63.185
99	-0.637	-62.819	-0.647	-63.832
100	-0.637	-63.456	-0.647	-64.478
101	-0.637	-64.093	-0.647	-65.125
102	-0.637	-64.731	-0.647	-65.772
103	-0.638	-65.369	-0.647	-66.419
104	-0.637	-66.006	-0.647	-67.066
105	-0.638	-66.644	-0.647	-67.713
106	-0.638	-67.282	-0.647	-68.360
107	-0.638	-67.920	-0.647	-69.007
108	-0.638	-68.558	-0.647	-69.654
109	-0.638	-69.196	-0.647	-70.302
110	-0.638	-69.835	-0.647	-70.949
111	-0.638	-70.473	-0.647	-71.597
112	-0.638	-71.111	-0.647	-72.244
113	-0.638	-71.749	-0.647	-72.891
114	-0.638	-72.387	-0.647	-73.538
115	-0.638	-73.025	-0.647	-74.185
116	-0.639	-73.664	-0.647	-74.832
117	-0.639	-74.303	-0.647	-75.479
118	-0.639	-74.942	-0.647	-76.126
119	-0.639	-75.580	-0.647	-76.773
120	-0.639	-76.219	-0.647	-77.420
121	-0.639	-76.858	-0.647	-78.067
122	-0.639	-77.497	-0.647	-78.714
123	-0.639	-78.135	-0.647	-79.361
124	-0.639	-78.775	-0.647	-80.009
125	-0.639	-79.413	-0.647	-80.656
126	-0.639	-80.052	-0.647	-81.303
127	-0.639	-80.691	-0.647	-81.950
128	-0.639	-81.331	-0.647	-82.598
129	-0.639	-81.970	-0.647	-83.245
130	-0.639	-82.609	-0.647	-83.892
131	-0.639	-83.248	-0.647	-84.539
132	-0.639	-83.888	-0.647	-85.186
133	-0.639	-84.527	-0.647	-85.833
134	-0.639	-85.166	-0.647	-86.481
135	-0.639	-85.805	-0.647	-87.128
136	-0.640	-86.445	-0.647	-87.775
137	-0.640	-87.085	-0.647	-88.422
138	-0.639	-87.724	-0.647	-89.070
139	-0.639	-88.363	-0.647	-89.717
140	-0.640	-89.003	-0.647	-90.364
141	-0.640	-89.643	-0.647	-91.012
142	-0.640	-90.283	-0.647	-91.659
143	-0.640	-90.924	-0.647	-92.307
144	-0.640	-91.564	-0.647	-92.954
145	-0.640	-92.204	-0.648	-93.602
146	-0.640	-92.844	-0.648	-94.249
147	-0.640	-93.484	-0.648	-94.897
148	-0.640	-94.124	-0.648	-95.544
149	-0.641	-94.765	-0.648	-96.192
150	-0.641	-95.405	-0.648	-96.840
151	-0.640	-96.046	-0.648	-97.488
152	-0.640	-96.686	-0.648	-98.135
153	-0.640	-97.327	-0.648	-98.783
154	-0.641	-97.967	-0.648	-99.431
155	-0.640	-98.608	-0.648	-100.079
156	-0.641	-99.249	-0.648	-100.727
157	-0.641	-99.890	-0.648	-101.375
158	-0.640	-100.530	-0.648	-102.023
159	-0.641	-101.171	-0.648	-102.672
160	-0.642	-101.813	-0.648	-103.320
161	-0.642	-102.454	-0.648	-103.969
162	-0.641	-103.095	-0.649	-104.617
163	-0.642	-103.737	-0.649	-105.266
164	-0.641	-104.378	-0.649	-105.914
165	-0.642	-105.019	-0.649	-106.563
166	-0.642	-105.661	-0.649	-107.212
167	-0.641	-106.302	-0.649	-107.860
168	-0.642	-106.944	-0.649	-108.509
169	-0.642	-107.586	-0.649	-109.158
170	-0.642	-108.227	-0.649	-109.807
171	-0.642	-108.869	-0.649	-110.456
172	-0.642	-109.510	-0.649	-111.105
173	-0.642	-110.153	-0.649	-111.755
174	-0.642	-110.794	-0.649	-112.404
175	-0.642	-111.436	-0.650	-113.054
176	-0.642	-112.078	-0.650	-113.703
177	-0.642	-112.720	-0.650	-114.353
178	-0.642	-113.362	-0.650	-115.003
179	-0.643	-114.004	-0.650	-115.653
180	-0.642	-114.646	-0.650	-116.303
181	-0.642	-115.288	-0.650	-116.953
182	-0.643	-115.931	-0.650	-117.603
183	-0.643	-116.573	-0.650	-118.253
184	-0.643	-117.216	-0.650	-118.904
185	-0.643	-117.859	-0.650	-119.554
186	-0.643	-118.501	-0.650	-120.204
187	-0.643	-119.144	-0.651	-120.855
188	-0.643	-119.787	-0.651	-121.505
189	-0.643	-120.430	-0.651	-122.156
190	-0.643	-121.073	-0.651	-122.807
191	-0.643	-121.716	-0.651	-123.458
192	-0.643	-122.360	-0.651	-124.109
193	-0.643	-123.003	-0.651	-124.760
194	-0.643	-123.646	-0.651	-125.411
195	-0.644	-124.290	-0.651	-126.062
196	-0.643	-124.933	-0.651	-126.713
197	-0.644	-125.577	-0.651	-127.364
198	-0.643	-126.220	-0.651	-128.015
199	-0.644	-126.864	-0.651	-128.667
200	-0.644	-127.508	-0.651	-129.318
201	-0.644	-128.152	-0.651	-129.969
202	-0.644	-128.795	-0.651	-130.620
203	-0.644	-129.439	-0.651	-131.272
204	-0.644	-130.083	-0.651	-131.923
205	-0.644	-130.727	-0.652	-132.575
206	-0.644	-131.371	-0.652	-133.226
207	-0.644	-132.014	-0.652	-133.878
208	-0.644	-132.658	-0.652	-134.529
209	-0.644	-133.302	-0.652	-135.181
210	-0.644	-133.946	-0.652	-135.833
211	-0.645	-134.591	-0.652	-136.484
212	-0.644	-135.235	-0.652	-137.136
213	-0.644	-135.879	-0.652	-137.788
214	-0.645	-136.524	-0.652	-138.440
215	-0.645	-137.169	-0.652	-139.092
216	-0.645	-137.814	-0.652	-139.744
217	-0.644	-138.458	-0.653	-140.397
218	-0.645	-139.103	-0.653	-141.050
219	-0.645	-139.748	-0.653	-141.702
220	-0.645	-140.393	-0.653	-142.355
221	-0.645	-141.038	-0.653	-143.008
222	-0.645	-141.684	-0.653	-143.661
223	-0.645	-142.329	-0.653	-144.314
224	-0.645	-142.974	-0.653	-144.967
225	-0.645	-143.618	-0.653	-145.620
226	-0.645	-144.263	-0.653	-146.274
227	-0.646	-144.909	-0.653	-146.927
228	-0.645	-145.554	-0.654	-147.581
229	-0.646	-146.200	-0.654	-148.234
230	-0.646	-146.846	-0.654	-148.888
231	-0.646	-147.492	-0.654	-149.542
232	-0.646	-148.138	-0.654	-150.196
233	-0.646	-148.784	-0.654	-150.850
234	-0.646	-149.429	-0.654	-151.504
235	-0.646	-150.076	-0.654	-152.159
236	-0.645	-150.721	-0.655	-152.813
237	-0.646	-151.367	-0.655	-153.468
238	-0.645	-152.012	-0.655	-154.123
239	-0.646	-152.658	-0.655	-154.777
240	-0.646	-153.304	-0.655	-155.432
241	-0.646	-153.951	-0.655	-156.087
242	-0.646	-154.597	-0.655	-156.742
243	-0.646	-155.243	-0.655	-157.397
244	-0.646	-155.890	-0.655	-158.052
245	-0.647	-156.537	-0.655	-158.707
246	-0.646	-157.183	-0.655	-159.362
247	-0.646	-157.829	-0.655	-160.017
248	-0.646	-158.476	-0.655	-160.673
249	-0.646	-159.122	-0.656	-161.328
250	-0.647	-159.769	-0.656	-161.984
251	-0.647	-160.416	-0.656	-162.640
252	-0.647	-161.063	-0.656	-163.296
253	-0.647	-161.710	-0.656	-163.952
254	-0.647	-162.356	-0.656	-164.608
255	-0.647	-163.004	-0.656	-165.264
256	-0.647	-163.651	-0.656	-165.920
257	-0.647	-164.298	-0.656	-166.576
258	-0.647	-164.945	-0.656	-167.232
259	-0.647	-165.592	-0.656	-167.889
260	-0.647	-166.240	-0.657	-168.545
261	-0.647	-166.887	-0.657	-169.202
262	-0.648	-167.534	-0.657	-169.858
263	-0.647	-168.182	-0.657	-170.515
264	-0.648	-168.829	-0.657	-171.172
265	-0.647	-169.476	-0.657	-171.828
266	-0.648	-170.124	-0.657	-172.485
267	-0.647	-170.771	-0.657	-173.142
268	-0.648	-171.419	-0.657	-173.798
269	-0.648	-172.066	-0.657	-174.455
270	-0.648	-172.714	-0.657	-175.112
271	-0.648	-173.363	-0.657	-175.770
272	-0.648	-174.011	-0.657	-176.427
273	-0.648	-174.659	-0.657	-177.084
274	-0.648	-175.307	-0.657	-177.741
275	-0.648	-175.956	-0.657	-178.399
276	-0.648	-176.604	-0.658	-179.056
277	-0.648	-177.252	-0.658	-179.714
278	-0.648	-177.900	-0.658	-180.371
279	-0.648	-178.549	-0.658	-181.029
280	-0.648	-179.197	-0.658	-181.686
281	-0.648	-179.846	-0.658	-182.344
282	-0.649	-180.494	-0.658	-183.002
283	-0.648	-181.143	-0.658	-183.659
284	-0.648	-181.791	-0.658	-184.317
285	-0.648	-182.439	-0.658	-184.974
286	-0.648	-183.088	-0.658	-185.632
287	-0.649	-183.737	-0.658	-186.289
288	-0.649	-184.386	-0.658	-186.947
289	-0.648	-185.034	-0.658	-187.605
290	-0.649	-185.683	-0.658	-188.262
291	-0.649	-186.332	-0.658	-188.920
292	-0.650	-186.982	-0.658	-189.577
293	-0.650	-187.631	-0.658	-190.235
294	-0.649	-188.281	-0.658	-190.893
