TIME	P	Q	P(corr)	Q(corr)
s	uW	 J	uW	 J
1	20.891	0.000	21.500	0.000
2	20.884	0.000	21.469	0.000
3	20.917	0.000	21.438	0.000
4	20.917	0.000	21.406	0.000
5	20.864	0.000	21.374	0.000
6	20.707	0.000	21.340	0.000
7	20.864	0.000	21.305	0.000
8	20.943	0.000	21.270	0.000
9	20.812	0.000	21.235	0.000
10	20.891	0.000	21.202	0.000
11	20.759	0.000	21.169	0.000
12	20.864	0.000	21.137	0.000
13	20.864	0.000	21.107	0.000
14	20.891	0.000	21.077	0.000
15	20.884	0.000	21.048	0.000
16	20.785	0.000	21.020	0.000
17	20.838	0.000	20.993	0.000
18	20.838	0.000	20.967	0.000
19	20.864	0.000	20.943	0.000
20	21.022	0.000	20.921	0.000
21	20.864	0.000	20.900	0.000
22	20.812	0.000	20.881	0.000
23	20.917	0.000	20.863	0.000
24	20.996	0.001	20.846	0.001
25	21.022	0.001	20.829	0.001
26	20.996	0.001	20.812	0.001
27	20.838	0.001	20.797	0.001
28	20.943	0.001	20.783	0.001
29	20.996	0.001	20.772	0.001
30	20.864	0.001	20.762	0.001
31	20.864	0.001	20.754	0.001
32	20.891	0.001	20.750	0.001
33	20.943	0.001	20.748	0.001
34	20.891	0.001	20.748	0.001
35	20.733	0.001	20.751	0.001
36	20.864	0.001	20.755	0.001
37	20.996	0.001	20.760	0.001
38	20.943	0.001	20.765	0.001
39	20.969	0.001	20.770	0.001
40	20.838	0.001	20.775	0.001
41	20.943	0.001	20.781	0.001
42	20.891	0.001	20.788	0.001
43	20.943	0.001	20.795	0.001
44	20.891	0.001	20.804	0.001
45	20.864	0.001	20.813	0.001
46	20.943	0.001	20.823	0.001
47	20.996	0.001	20.833	0.001
48	20.812	0.001	20.844	0.001
49	20.891	0.001	20.856	0.001
50	20.812	0.001	20.868	0.001
51	20.838	0.001	20.880	0.001
52	20.917	0.001	20.892	0.001
53	20.891	0.001	20.904	0.001
54	20.805	0.001	20.917	0.001
55	20.917	0.001	20.930	0.001
56	20.891	0.001	20.944	0.001
57	20.707	0.001	20.958	0.001
58	20.917	0.001	20.972	0.001
59	20.812	0.001	20.984	0.001
60	20.812	0.001	20.996	0.001
61	20.864	0.001	21.006	0.001
62	20.864	0.001	21.016	0.001
63	20.785	0.001	21.024	0.001
64	20.785	0.001	21.032	0.001
65	20.785	0.001	21.039	0.001
66	20.785	0.001	21.045	0.001
67	20.845	0.001	21.050	0.001
68	20.864	0.001	21.054	0.001
69	20.707	0.001	21.056	0.001
70	20.891	0.001	21.056	0.001
71	20.838	0.001	21.053	0.001
72	20.812	0.002	21.049	0.002
73	20.838	0.002	21.043	0.002
74	20.654	0.002	21.035	0.002
75	20.707	0.002	21.027	0.002
76	20.838	0.002	21.018	0.002
77	20.707	0.002	21.008	0.002
78	20.759	0.002	20.999	0.002
79	20.785	0.002	20.988	0.002
80	20.785	0.002	20.977	0.002
81	20.864	0.002	20.964	0.002
82	20.812	0.002	20.950	0.002
83	20.891	0.002	20.934	0.002
84	20.917	0.002	20.916	0.002
85	20.917	0.002	20.896	0.002
86	20.812	0.002	20.875	0.002
87	20.917	0.002	20.854	0.002
88	20.891	0.002	20.831	0.002
89	20.969	0.002	20.807	0.002
90	20.943	0.002	20.784	0.002
91	20.969	0.002	20.761	0.002
92	20.943	0.002	20.739	0.002
93	20.923	0.002	20.717	0.002
94	21.075	0.002	20.697	0.002
95	20.969	0.002	20.679	0.002
96	20.996	0.002	20.661	0.002
97	20.996	0.002	20.645	0.002
98	20.996	0.002	20.631	0.002
99	20.943	0.002	20.617	0.002
100	20.891	0.002	20.606	0.002
101	20.917	0.002	20.596	0.002
102	20.917	0.002	20.588	0.002
103	21.048	0.002	20.583	0.002
104	21.075	0.002	20.582	0.002
105	20.996	0.002	20.583	0.002
106	20.904	0.002	20.587	0.002
107	20.943	0.002	20.592	0.002
108	20.969	0.002	20.599	0.002
109	21.048	0.002	20.607	0.002
110	21.101	0.002	20.616	0.002
111	21.075	0.002	20.626	0.002
112	21.048	0.002	20.639	0.002
113	20.996	0.002	20.654	0.002
114	21.075	0.002	20.672	0.002
115	21.127	0.002	20.692	0.002
116	21.022	0.002	20.715	0.002
117	21.101	0.002	20.740	0.002
118	21.075	0.002	20.766	0.002
119	21.061	0.002	20.795	0.002
120	21.180	0.003	20.827	0.003
121	21.180	0.003	20.861	0.003
122	21.180	0.003	20.898	0.003
123	21.048	0.003	20.936	0.003
124	21.022	0.003	20.976	0.003
125	21.180	0.003	21.018	0.003
126	21.127	0.003	21.061	0.003
127	21.075	0.003	21.106	0.003
128	21.101	0.003	21.154	0.003
129	21.232	0.003	21.203	0.003
130	21.048	0.003	21.253	0.003
131	21.180	0.003	21.303	0.003
132	21.259	0.003	21.354	0.003
133	21.180	0.003	21.403	0.003
134	21.259	0.003	21.451	0.003
135	21.259	0.003	21.497	0.003
136	21.127	0.003	21.542	0.003
137	21.180	0.003	21.585	0.003
138	21.232	0.003	21.629	0.003
139	21.206	0.003	21.671	0.003
140	21.259	0.003	21.714	0.003
141	21.127	0.003	21.758	0.003
142	21.153	0.003	21.802	0.003
143	21.180	0.003	21.846	0.003
144	21.180	0.003	21.890	0.003
145	21.160	0.003	21.932	0.003
146	21.232	0.003	21.972	0.003
147	21.180	0.003	22.011	0.003
148	21.285	0.003	22.047	0.003
149	21.337	0.003	22.081	0.003
150	21.364	0.003	22.113	0.003
151	21.153	0.003	22.143	0.003
152	21.232	0.003	22.170	0.003
153	21.311	0.003	22.194	0.003
154	21.153	0.003	22.216	0.003
155	21.311	0.003	22.235	0.003
156	21.232	0.003	22.254	0.003
157	21.232	0.003	22.272	0.003
158	21.199	0.003	22.290	0.003
159	21.127	0.003	22.307	0.003
160	21.259	0.003	22.322	0.003
161	21.153	0.003	22.336	0.003
162	21.206	0.003	22.347	0.003
163	21.259	0.003	22.356	0.003
164	21.259	0.003	22.362	0.003
165	21.232	0.003	22.368	0.003
166	21.180	0.003	22.371	0.004
167	21.285	0.004	22.372	0.004
168	21.285	0.004	22.371	0.004
169	21.153	0.004	22.367	0.004
170	21.206	0.004	22.362	0.004
171	21.259	0.004	22.355	0.004
172	21.259	0.004	22.348	0.004
173	21.232	0.004	22.340	0.004
174	21.259	0.004	22.332	0.004
175	21.206	0.004	22.323	0.004
176	21.259	0.004	22.313	0.004
177	21.337	0.004	22.301	0.004
178	21.259	0.004	22.287	0.004
179	21.259	0.004	22.271	0.004
180	21.337	0.004	22.253	0.004
181	21.364	0.004	22.234	0.004
182	21.364	0.004	22.215	0.004
183	21.285	0.004	22.196	0.004
184	21.278	0.004	22.178	0.004
185	21.337	0.004	22.160	0.004
186	21.390	0.004	22.143	0.004
187	21.232	0.004	22.127	0.004
188	21.337	0.004	22.112	0.004
189	21.311	0.004	22.097	0.004
190	21.364	0.004	22.082	0.004
191	21.232	0.004	22.068	0.004
192	21.232	0.004	22.053	0.004
193	21.206	0.004	22.039	0.004
194	21.285	0.004	22.025	0.004
195	21.390	0.004	22.011	0.004
196	21.311	0.004	21.998	0.004
197	21.337	0.004	21.985	0.004
198	21.390	0.004	21.972	0.004
199	21.285	0.004	21.959	0.004
200	21.416	0.004	21.945	0.004
201	21.232	0.004	21.930	0.004
202	21.337	0.004	21.914	0.004
203	21.364	0.004	21.897	0.004
204	21.311	0.004	21.881	0.004
205	21.311	0.004	21.865	0.004
206	21.337	0.004	21.851	0.004
207	21.259	0.004	21.839	0.004
208	21.364	0.004	21.828	0.004
209	21.416	0.004	21.818	0.004
210	21.278	0.004	21.808	0.004
211	21.311	0.004	21.799	0.005
212	21.311	0.004	21.790	0.005
213	21.337	0.004	21.782	0.005
214	21.337	0.005	21.774	0.005
215	21.311	0.005	21.768	0.005
216	21.285	0.005	21.764	0.005
217	21.311	0.005	21.760	0.005
218	21.259	0.005	21.756	0.005
219	21.337	0.005	21.753	0.005
220	21.285	0.005	21.750	0.005
221	21.206	0.005	21.747	0.005
222	21.390	0.005	21.744	0.005
223	21.318	0.005	21.743	0.005
224	21.337	0.005	21.741	0.005
225	21.337	0.005	21.740	0.005
226	21.364	0.005	21.739	0.005
227	21.232	0.005	21.736	0.005
228	21.285	0.005	21.733	0.005
229	21.259	0.005	21.728	0.005
230	21.232	0.005	21.723	0.005
231	21.285	0.005	21.718	0.005
232	21.127	0.005	21.713	0.005
233	21.232	0.005	21.710	0.005
234	21.206	0.005	21.706	0.005
235	21.285	0.005	21.704	0.005
236	21.140	0.005	21.701	0.005
237	21.259	0.005	21.698	0.005
238	21.206	0.005	21.693	0.005
239	21.153	0.005	21.687	0.005
240	21.285	0.005	21.678	0.005
241	21.232	0.005	21.668	0.005
242	21.232	0.005	21.656	0.005
243	21.127	0.005	21.642	0.005
244	21.206	0.005	21.627	0.005
245	21.259	0.005	21.611	0.005
246	21.206	0.005	21.593	0.005
247	21.180	0.005	21.573	0.005
248	21.180	0.005	21.553	0.005
249	21.101	0.005	21.532	0.005
250	21.101	0.005	21.511	0.005
251	21.127	0.005	21.489	0.005
252	21.153	0.005	21.468	0.005
253	21.153	0.005	21.447	0.005
254	21.153	0.005	21.426	0.005
255	21.285	0.005	21.404	0.005
256	21.259	0.005	21.380	0.005
257	21.206	0.005	21.354	0.005
258	21.153	0.005	21.325	0.006
259	21.075	0.005	21.295	0.006
260	21.232	0.005	21.263	0.006
261	21.048	0.006	21.230	0.006
262	21.219	0.006	21.196	0.006
263	21.153	0.006	21.164	0.006
264	21.285	0.006	21.131	0.006
265	21.311	0.006	21.100	0.006
266	21.101	0.006	21.070	0.006
267	21.259	0.006	21.040	0.006
268	21.153	0.006	21.011	0.006
269	21.206	0.006	20.981	0.006
270	21.206	0.006	20.951	0.006
271	21.206	0.006	20.922	0.006
272	21.153	0.006	20.894	0.006
273	21.259	0.006	20.868	0.006
274	21.206	0.006	20.843	0.006
275	21.259	0.006	20.820	0.006
276	21.206	0.006	20.799	0.006
277	21.153	0.006	20.778	0.006
278	21.180	0.006	20.759	0.006
279	21.180	0.006	20.740	0.006
280	21.153	0.006	20.724	0.006
281	21.101	0.006	20.709	0.006
282	21.180	0.006	20.697	0.006
283	21.127	0.006	20.687	0.006
284	21.206	0.006	20.680	0.006
285	21.101	0.006	20.674	0.006
286	21.180	0.006	20.670	0.006
287	21.259	0.006	20.667	0.006
288	21.219	0.006	20.665	0.006
289	21.206	0.006	20.663	0.006
290	21.259	0.006	20.661	0.006
291	21.127	0.006	20.660	0.006
292	21.285	0.006	20.660	0.006
293	21.180	0.006	20.661	0.006
294	21.259	0.006	20.664	0.006
295	21.180	0.006	20.667	0.006
296	21.153	0.006	20.671	0.006
297	21.232	0.006	20.678	0.006
298	21.232	0.006	20.686	0.006
299	21.206	0.006	20.696	0.006
300	21.259	0.006	20.709	0.006
301	21.140	0.000	20.724	0.000
302	21.048	0.000	20.740	0.000
303	21.101	0.000	20.757	0.000
304	21.153	0.000	20.775	0.000
305	21.206	0.000	20.792	0.000
306	21.416	0.000	20.811	0.000
307	21.390	0.000	20.829	0.000
308	21.705	0.000	20.848	0.000
309	21.968	0.000	20.866	0.000
310	22.363	0.000	20.884	0.000
311	22.678	0.000	20.900	0.000
312	22.994	0.000	20.915	0.000
313	23.309	0.000	20.929	0.000
