EXPERIMENTAL DATA:c:\digitam\result\jbcal02.xpt        DATE 19-Sep-18
START TIME:  13:11       STOP TIME:  13:47       TOTAL TIME:  0:36
=============================================================================   
TIME	P	Q	P(corr)	Q(corr)	A.INPUT	A.INPUT	REMARK
sec	microW	mJ	microW	mJ	MV	MVs
                                                                                
1	-25.669	-0.026	 	 	 	 	FIRST PART #1
2	-25.644	-0.051	 	 	 	 	PAUSE
3	-25.571	-0.077	 	 	 	 	cond 1
4	-25.497	-0.102	 	 	 	 
5	-25.497	-0.128	 	 	 	 
6	-25.350	-0.153	 	 	 	 
7	-25.276	-0.179	 	 	 	 
8	-25.252	-0.204	 	 	 	 
9	-25.233	-0.229	 	 	 	 
10	-25.301	-0.254	 	 	 	 
11	-25.227	-0.280	 	 	 	 
12	-25.227	-0.305	 	 	 	 
13	-25.252	-0.330	 	 	 	 
14	-25.178	-0.355	 	 	 	 
15	-25.006	-0.380	 	 	 	 
16	-25.129	-0.405	 	 	 	 
17	-25.104	-0.430	 	 	 	 
18	-25.178	-0.456	 	 	 	 
19	-25.202	-0.481	 	 	 	 
20	-25.202	-0.506	 	 	 	 
21	-25.080	-0.531	 	 	 	 
22	-25.288	-0.556	 	 	 	 
23	-25.153	-0.582	 	 	 	 
24	-25.178	-0.607	 	 	 	 
25	-25.178	-0.632	 	 	 	 
26	-25.178	-0.657	 	 	 	 
27	-25.276	-0.682	 	 	 	 
28	-25.301	-0.708	 	 	 	 
29	-25.227	-0.733	 	 	 	 
30	-25.178	-0.758	 	 	 	 
31	-25.153	-0.783	 	 	 	 
32	-25.080	-0.808	 	 	 	 
33	-25.031	-0.833	 	 	 	 
34	-25.129	-0.858	 	 	 	 
35	-25.031	-0.883	 	 	 	 
36	-25.129	-0.909	 	 	 	 
37	-25.006	-0.934	 	 	 	 
38	-24.908	-0.958	 	 	 	 
39	-24.908	-0.983	 	 	 	 
40	-24.810	-1.008	 	 	 	 
41	-24.785	-1.033	 	 	 	 
42	-24.687	-1.058	 	 	 	 
43	-24.589	-1.082	 	 	 	 
44	-24.613	-1.107	 	 	 	 
45	-24.491	-1.131	 	 	 	 
46	-24.515	-1.156	 	 	 	 
47	-24.393	-1.180	 	 	 	 
48	-24.313	-1.205	 	 	 	 
49	-24.393	-1.229	 	 	 	 
50	-24.245	-1.253	 	 	 	 
51	-24.294	-1.278	 	 	 	 
52	-24.221	-1.302	 	 	 	 
53	-24.123	-1.326	 	 	 	 
54	-24.123	-1.350	 	 	 	 
55	-24.025	-1.374	 	 	 	 
56	-24.000	-1.398	 	 	 	 
57	-23.877	-1.422	 	 	 	 
58	-23.853	-1.446	 	 	 	 
59	-23.656	-1.469	 	 	 	 
60	-23.706	-1.493	 	 	 	 
61	-23.558	-1.517	 	 	 	 
62	-23.607	-0.024	 	 	 	 	FIRST PART #1
63	-23.534	-0.047	 	 	 	 	MAIN #1
64	-23.509	-0.071	 	 	 	 	cond 1
65	-23.301	-0.094	 	 	 	 
66	-22.773	-0.117	 	 	 	 
67	-21.865	-0.139	 	 	 	 
68	-20.515	-0.159	 	 	 	 
