"Channel 1_x","Channel 1_y","Channel 2_x","Channel 2_y","Channel 3_x","Channel 3_y"
0.0004231929779,24.35,0.4043080807,22.07,0.8085505962,18.73,
1.212957859,24.37,1.616053343,22.07,2.018887043,18.73,
2.422056198,24.36,2.825113535,22.07,3.227827072,18.73,
3.630209923,24.36,4.033372402,22.07,4.436976433,18.73,
4.839955091,24.36,5.243456364,22.07,5.646790504,18.73,
6.04990387,24.36,6.452544212,22.06,6.855038404,18.73,
7.25756216,24.36,7.660141706,22.06,8.07070899,18.73,
8.476108313,24.36,8.879091024,22.07,9.282519579,18.73,
9.685862541,24.37,10.08875132,22.07,10.49165654,18.73,
10.89527512,24.37,11.29837132,22.07,11.70124745,18.73,
12.10366988,24.37,12.50649285,22.07,12.9104836,18.73,
13.31449652,24.37,13.7183218,22.07,14.12159038,18.74,
14.52466369,24.35,14.9284935,22.07,15.33212042,18.74,
15.73606467,24.35,16.1389432,22.07,16.5419755,18.74,
16.94560146,24.35,17.34899068,22.07,17.75172138,18.74,
18.15408039,24.37,18.55647373,22.07,18.9604516,18.74,
19.36468983,24.37,19.76844811,22.07,20.17141891,18.74,
20.57469368,24.36,20.98976517,22.07,21.39351153,18.74,
21.7972753,24.36,22.20036721,22.07,22.60297012,18.74,
23.00619054,24.37,23.40994406,22.07,23.81370187,18.74,
24.21727395,24.37,24.62025356,22.07,25.02415037,18.74,
25.42826104,24.37,25.83177042,22.07,26.23539901,18.74,
26.6390028,24.37,27.04201818,22.07,27.44627476,18.74,
27.84979796,24.37,28.25318789,22.07,28.65594006,18.74,
29.05884027,24.37,29.4618907,22.07,29.86535811,18.74,
30.26879525,24.38,30.67205048,22.07,31.08065581,18.75,
31.48421931,24.38,31.88755202,22.07,32.29084587,18.75,
32.69297957,24.37,33.09489202,22.07,33.49729633,18.74,
33.90042329,24.36,34.30371356,22.06,34.70686197,18.74,
35.10986853,24.36,35.5126431,22.06,35.91597247,18.74,
36.31879997,24.36,36.72146583,22.06,37.12377477,18.74,
37.52662587,24.36,37.93052292,22.06,38.33454967,18.74,
38.73849416,24.36,39.14152431,22.06,39.54442739,18.75,
39.94903898,24.36,40.35269809,22.06,40.75589657,18.75,
41.15878081,24.37,41.56137443,22.06,41.97063112,18.75,
42.37373209,24.37,42.77691483,22.06,43.17997813,18.75,
43.58408308,24.37,43.9889338,22.06,44.39233661,18.75,
44.79630446,24.37,45.20018101,22.06,45.60344958,18.75,
46.00656009,24.37,46.40982127,22.06,46.81300354,18.75,
47.2162385,24.37,47.61980939,22.06,48.02398515,18.75,
48.42881942,24.37,48.83328485,22.06,49.23727083,18.75,
49.64046359,24.37,50.04363751,22.06,50.44740748,18.75,
50.85045481,24.36,51.25341892,22.06,51.65615559,18.75,
52.05901027,24.36,52.46157622,22.06,52.86431766,18.75,
53.2674365,24.36,53.66976213,22.06,54.07353687,18.75,
54.47705579,24.39,54.88052297,22.06,55.28413057,18.75,
55.68741488,24.39,56.09041357,22.06,56.49310994,18.76,
56.89655733,24.39,57.29959631,22.07,57.70307302,18.76,
58.10573006,24.39,58.50826597,22.07,58.91172934,18.76,
59.31450152,24.39,59.7171061,22.07,60.11941195,18.76,
60.52222681,24.38,60.92555332,22.08,61.32883954,18.76,
61.73251367,24.38,62.13606501,22.08,62.53945661,18.76,
62.9424696,24.39,63.34640479,22.09,63.74976015,18.76,
64.15272307,24.39,64.55606818,22.1,64.959867,18.76,
65.36326861,24.38,65.76643634,22.11,66.16903234,18.76,
66.5747354,24.38,66.97944188,22.12,67.38331437,18.77,
67.78749084,24.38,68.19158769,22.14,68.60095096,18.77,
69.00505471,24.38,69.40919185,22.15,69.81309152,18.77,
70.21690869,24.38,70.61962271,22.16,71.02222228,18.77,
71.42550516,24.38,71.82849598,22.18,72.23200631,18.77,
72.63523841,24.39,73.03912163,22.2,73.44307399,18.77,
73.84737897,24.39,74.25150585,22.22,74.65521026,18.77,
75.0588069,24.39,75.46298933,22.23,75.86730051,18.77,
76.2718246,24.4,76.67557168,22.25,77.07933545,18.77,
77.48431277,24.4,77.88774204,22.28,78.29044557,18.77,
78.69351506,24.37,79.1001091,22.29,79.50271678,18.77,
79.90561891,24.37,80.30846953,22.31,80.71158338,18.77,
81.11403966,24.37,81.5165379,22.33,81.91960907,18.77,
82.32303524,24.37,82.72633815,22.35,83.12939048,18.77,
83.53239083,24.42,83.93590713,22.37,84.33899784,18.77,
84.74198461,24.42,85.14413095,22.39,85.54649138,18.77,
85.94936419,24.4,86.3518889,22.41,86.75433016,18.77,
87.15652943,24.39,87.55904889,22.43,87.96224642,18.77,
88.36576653,24.38,88.76950955,22.45,89.17318869,18.77,
89.57842135,24.38,89.99083042,22.48,90.39399171,18.77,
90.79718375,24.38,91.20006418,22.5,91.60266972,18.77,
92.00586081,24.38,92.40905356,22.52,92.81257677,18.77,
93.21557617,24.4,93.61830258,22.54,94.0209651,18.77,
94.4243412,24.4,94.8277235,22.56,95.23081994,18.77,
95.63345623,24.4,96.03615665,22.58,96.43976855,18.77,
96.84291792,24.38,97.24556327,22.6,97.64764738,18.77,
98.05002046,24.38,98.45304847,22.62,98.8562603,18.77,
99.25949049,24.39,99.66225648,22.64,100.0659163,18.77,
100.4765472,24.4,100.8792851,22.66,101.2818947,18.77,
101.6851537,24.4,102.0875998,22.68,102.4896076,18.77,
102.8920572,24.4,103.2954903,22.7,103.6993277,18.77,
104.1029723,24.4,104.5059645,22.72,104.9086406,18.77,
105.3110056,24.4,105.7137539,22.74,106.1176684,18.77,
106.5206165,24.4,106.9241216,22.76,107.3270588,18.77,
107.7298501,24.4,108.1329372,22.78,108.5357773,18.77,
108.938905,24.4,109.3423901,22.8,109.7458863,18.77,
110.1487384,24.4,110.5514152,22.82,110.9544384,18.77,
111.3579428,24.4,111.7617607,22.84,112.164912,18.77,
112.5725124,24.4,112.977915,22.85,113.3816564,18.77,
113.7852335,24.4,114.1887593,22.87,114.5921538,18.78,
114.9981618,24.4,115.4019332,22.88,115.8052628,18.78,
116.2090981,24.4,116.6129515,22.91,117.0159893,18.78,
117.4195862,24.4,117.8234501,22.92,118.2269514,18.78,
118.6300073,24.41,119.0328438,22.94,119.4362237,18.78,
119.839638,24.41,120.2429464,22.95,120.6459532,18.78,
121.0488195,24.4,121.4525833,22.97,121.8557794,18.77,
122.2584705,24.4,122.6603138,22.98,123.0691345,18.77,
123.4782743,24.4,123.8815591,23,124.284822,18.77,
124.6873338,24.4,125.0903199,23.01,125.4949698,18.77,
125.8979344,24.4,126.3009665,23.03,126.7041407,18.77,
127.107136,24.4,127.5103972,23.05,127.9137676,18.77,
128.3169742,24.41,128.7199028,23.05,129.1222613,18.77,
129.5251558,24.41,129.9286599,23.07,130.3320992,18.78,
130.7350013,24.4,131.1376958,23.09,131.540525,18.78,
131.9440341,24.4,132.3475344,23.1,132.7505796,18.77,
133.153024,24.4,133.5550885,23.11,133.9577556,18.77,
134.3606515,24.38,134.763082,23.12,135.1653359,18.77,
135.5704215,24.38,135.97334,23.14,136.3757381,18.77,
136.7784467,24.39,137.1810722,23.15,137.5861228,18.77,
137.9892242,24.4,138.3923082,23.17,138.7958694,18.77,
139.1992071,24.4,139.6021724,23.18,140.005378,18.77,
140.4092197,24.4,140.8126872,23.19,141.2154233,18.77,
141.6179373,24.4,142.0209606,23.2,142.4241414,18.77,
142.8277714,24.42,143.2314613,23.21,143.6341419,18.77,
144.0370083,24.42,144.4405534,23.22,144.8441398,18.77,
145.2475154,24.4,145.6500883,23.23,146.0526135,18.77,
146.455595,24.4,146.8582966,23.24,147.261061,18.77,
147.6643693,24.42,148.0718565,23.25,148.4740996,18.77,
148.8759582,24.42,149.277679,23.27,149.679342,18.77,
150.0816526,24.41,150.4853666,23.28,150.8876007,18.77,
151.2900753,24.41,151.6923192,23.28,152.1000311,18.77,
152.5025947,24.41,152.9051111,23.29,153.3078187,18.77,
153.7104552,24.39,154.1129169,23.3,154.5154669,18.77,
154.9182208,24.39,155.3209341,23.31,155.7238011,18.77,
156.1265881,24.41,156.5293779,23.32,156.9322433,18.77,
157.3343136,24.43,157.7361891,23.33,158.1426532,18.77,
158.5445445,24.43,158.9468951,23.34,159.3568585,18.77,
159.758976,24.42,160.1659529,23.35,160.5740867,18.77,
160.9785359,24.42,161.3811781,23.36,161.7837038,18.77,
162.1862631,24.43,162.5898492,23.36,162.9920416,18.77,
163.3947866,24.43,163.7971268,23.37,164.1996162,18.77,
164.6021442,24.41,165.0048006,23.38,165.4074097,18.77,
165.8099916,24.41,166.21245,23.39,166.6144423,18.77,
167.0164919,24.42,167.4210505,23.39,167.8249593,18.77,
168.2271125,24.42,168.6292901,23.4,169.0333855,18.77,
169.4357846,24.41,169.8414764,23.41,170.2443309,18.77,
170.6473191,24.41,171.0503175,23.42,171.4529943,18.77,
171.8560636,24.41,172.2596502,23.43,172.6617804,18.78,
173.0673289,24.41,173.4842715,23.44,173.8867326,18.78,
174.2960653,24.42,174.7001584,23.44,175.1020801,18.77,
175.5042381,24.42,175.9068685,23.45,176.3098478,18.77,
176.7174435,24.43,177.122859,23.46,177.526052,18.77,
177.929019,24.43,178.3309751,23.46,178.7340605,18.77,
179.1373153,24.43,179.5396318,23.46,179.9440567,18.77,
180.3476059,24.43,180.7549403,23.47,181.1576309,18.77,
181.560163,24.43,181.9630806,23.48,182.3661439,18.78,
182.7687249,24.43,183.1712835,23.48,183.5774357,18.78,
183.9816403,24.4,184.3846738,23.49,184.7869201,18.77,
185.1894205,24.4,185.5923467,23.49,185.9949129,18.77,
186.397649,24.4,186.8070884,23.5,187.2103195,18.78,
187.613791,24.41,188.0166035,23.5,188.4186158,18.78,
188.828614,24.44,189.2329679,23.51,189.6556034,18.78,
190.0699382,24.44,190.4783547,23.51,190.8872855,18.78,
191.2965708,24.44,191.7013159,23.52,192.1057796,18.78,
192.5089824,24.43,192.911382,23.52,193.3140249,18.78,
193.7177155,24.41,194.1210566,23.53,194.5243587,18.78,
194.9272738,24.41,195.329561,23.53,195.7318871,18.78,
196.1338749,24.41,196.5363054,23.53,196.9389277,18.78,
197.3423593,24.41,197.7462375,23.54,198.1493952,18.78,
198.556998,24.41,198.9599507,23.54,199.3630524,18.78,
199.7656877,24.41,200.1701145,23.54,200.5733948,18.78,
200.9756794,24.44,201.3771639,23.54,201.7785125,18.78,
202.1805172,24.44,202.5912938,23.55,202.9950945,18.78,
203.3970637,24.44,203.8064213,23.56,204.2092848,18.78,
204.6121035,24.45,205.0149395,23.56,205.417249,18.78,
205.8207645,24.45,206.2231998,23.56,206.6268513,18.78,
207.0406077,24.45,207.4433119,23.56,207.8460448,18.78,
208.2493651,24.45,208.6529303,23.57,209.0558763,18.79,
209.458534,24.42,209.8610349,23.57,210.2638721,18.79,
210.6679654,24.42,211.0772233,23.57,211.4805367,18.79,
211.8837631,24.46,212.2869403,23.57,212.6897295,18.79,
213.0919077,24.46,213.4945657,23.58,213.8973076,18.79,
214.3002236,24.45,214.7029278,23.58,215.1052141,18.79,
215.5078053,24.45,215.9105296,23.58,216.313235,18.79,
216.716166,24.43,217.118855,23.59,217.5216441,18.79,
217.9244127,24.43,218.3271708,23.59,218.7297428,18.79,
219.1326625,24.43,219.535269,23.59,219.9379923,18.79,
220.3410604,24.43,220.743598,23.6,221.1463177,18.78,
221.5492947,24.44,221.9528325,23.6,222.3568201,18.78,
222.7606678,24.44,223.1639504,23.6,223.567132,18.79,
223.9789083,24.41,224.3817596,23.6,224.7847426,18.79,
225.1881666,24.41,225.5930641,23.6,225.9954903,18.79,
226.3983045,24.43,226.8012466,23.6,227.2041376,18.79,
227.6068027,24.43,228.009186,23.6,228.411314,18.78,
228.8134849,24.44,229.215595,23.6,229.6178265,18.78,
230.0201247,24.44,230.4226043,23.6,230.8251426,18.78,
231.2272835,24.43,231.6292894,23.61,232.0321906,18.78,
232.4350901,24.43,232.8380659,23.61,233.2406456,18.78,
233.6434762,24.44,234.0466564,23.61,234.44945,18.78,
234.8524065,24.44,235.2553339,23.62,235.6582904,18.78,
236.0610473,24.44,236.4636281,23.62,236.86586,18.78,
237.2682724,24.45,237.671207,23.62,238.0785005,18.78,
238.4817088,24.45,238.8851819,23.62,239.288635,18.78,
239.6921003,24.44,240.0947082,23.62,240.4978147,18.78,
240.9012001,24.42,241.3040366,23.62,241.7064877,18.78,
242.1085122,24.42,242.5109072,23.62,242.9137194,18.78,
243.3174336,24.42,243.7203083,23.62,244.1231186,18.78,
244.5260048,24.42,244.9285588,23.63,245.3310452,18.78,
245.7335298,24.44,246.136153,23.63,246.5387068,18.78,
246.9410045,24.45,247.343684,23.63,247.7461839,18.78,
248.1483872,24.45,248.5507934,23.63,248.9532318,18.78,
249.3560867,24.45,249.758671,23.63,250.1607246,18.78,
250.5639806,24.45,250.9756117,23.63,251.378648,18.78,
251.7816472,24.45,252.1846588,23.63,252.5904,18.78,
252.9932511,24.46,253.3966832,23.63,253.7999275,18.78,
254.2031114,24.47,254.6057124,23.64,255.0087111,18.78,
255.412209,24.47,255.8153367,23.64,256.21874,18.78,
256.6231105,24.47,257.0271053,23.64,257.4305346,18.78,
257.8341682,24.47,258.2378521,23.64,258.6418047,18.78,
259.0489767,24.46,259.4534581,23.64,259.8613439,18.78,
260.2702453,24.46,260.6747062,23.64,261.0838029,18.78,
261.4875665,24.44,261.8904035,23.64,262.2930264,18.78,
262.6956015,24.44,263.1076505,23.64,263.5129859,18.79,
263.9155033,24.46,264.3180139,23.64,264.7210636,18.79,
265.1241257,24.47,265.5290835,23.64,265.935596,18.79,
