EXPERIMENTAL DATA:c:\digitam\result\jbscal04.xpt       DATE 21-Sep-18
START TIME:  15:56       STOP TIME:  01:56       TOTAL TIME:  10:00
=============================================================================   
TIME	P	Q	P(corr)	Q(corr)	A.INPUT	A.INPUT	REMARK
sec	microW	mJ	microW	mJ	MV	MVs
                                                                                
1	-4.491	-0.004	 	 	 	 	FIRST PART #1
2	-4.515	-0.009	 	 	 	 	PAUSE
3	-4.491	-0.013	 	 	 	 	cond 1
4	-4.399	-0.018	 	 	 	 
5	-4.368	-0.022	 	 	 	 
6	-4.368	-0.027	 	 	 	 
7	-4.442	-0.031	 	 	 	 
8	-4.589	-0.036	 	 	 	 
9	-4.442	-0.040	 	 	 	 
10	-4.491	-0.045	 	 	 	 
11	-4.540	-0.049	 	 	 	 
12	-4.380	-0.054	 	 	 	 
13	-4.442	-0.058	 	 	 	 
14	-4.442	-0.062	 	 	 	 
15	-4.393	-0.067	 	 	 	 
16	-4.564	-0.071	 	 	 	 
17	-4.368	-0.076	 	 	 	 
18	-4.466	-0.080	 	 	 	 
19	-4.380	-0.085	 	 	 	 
20	-4.491	-0.089	 	 	 	 
21	-4.466	-0.094	 	 	 	 
22	-4.491	-0.098	 	 	 	 
23	-4.515	-0.103	 	 	 	 
24	-4.417	-0.107	 	 	 	 
25	-4.417	-0.111	 	 	 	 
26	-4.472	-0.116	 	 	 	 
27	-4.491	-0.120	 	 	 	 
28	-4.442	-0.125	 	 	 	 
29	-4.491	-0.129	 	 	 	 
30	-4.491	-0.134	 	 	 	 
31	-4.417	-0.138	 	 	 	 
32	-4.417	-0.143	 	 	 	 
33	-4.509	-0.147	 	 	 	 
34	-4.564	-0.152	 	 	 	 
35	-4.466	-0.156	 	 	 	 
36	-4.417	-0.161	 	 	 	 
37	-4.417	-0.165	 	 	 	 
38	-4.442	-0.169	 	 	 	 
39	-4.466	-0.174	 	 	 	 
40	-4.491	-0.178	 	 	 	 
41	-4.472	-0.183	 	 	 	 
42	-4.417	-0.187	 	 	 	 
43	-4.417	-0.192	 	 	 	 
44	-4.417	-0.196	 	 	 	 
45	-4.417	-0.201	 	 	 	 
46	-4.442	-0.205	 	 	 	 
47	-4.417	-0.209	 	 	 	 
48	-4.417	-0.214	 	 	 	 
49	-4.515	-0.218	 	 	 	 
50	-4.466	-0.223	 	 	 	 
51	-4.466	-0.227	 	 	 	 
52	-4.491	-0.232	 	 	 	 
53	-4.368	-0.236	 	 	 	 
54	-4.393	-0.240	 	 	 	 
55	-4.436	-0.245	 	 	 	 
56	-4.491	-0.249	 	 	 	 
57	-4.515	-0.254	 	 	 	 
58	-4.515	-0.258	 	 	 	 
59	-4.442	-0.263	 	 	 	 
60	-4.466	-0.267	 	 	 	 
61	-4.466	-0.272	 	 	 	 
61	-4.442	-0.004	 	 	 	 	FIRST PART #1
62	-4.454	-0.009	 	 	 	 	MAIN #1
63	-4.491	-0.013	 	 	 	 	cond 1
64	-4.344	-0.018	 	 	 	 
65	-3.755	-0.021	 	 	 	 
66	-2.920	-0.024	 	 	 	 
67	-1.644	-0.026	 	 	 	 
68	-0.196	-0.026	 	 	 	 
69	1.656	-0.025	 	 	 	 
70	3.779	-0.021	 	 	 	 
71	5.963	-0.015	 	 	 	 
72	8.196	-0.007	 	 	 	 
73	10.331	0.004	 	 	 	 
74	12.687	0.016	 	 	 	 
75	15.117	0.031	 	 	 	 
76	17.982	0.049	 	 	 	 
77	20.883	0.070	 	 	 	 
78	23.362	0.094	 	 	 	 
79	25.865	0.120	 	 	 	 
80	28.442	0.148	 	 	 	 
81	31.018	0.179	 	 	 	 
82	33.497	0.213	 	 	 	 
83	36.074	0.249	 	 	 	 
84	38.528	0.287	 	 	 	 
85	41.055	0.328	 	 	 	 
86	43.583	0.372	 	 	 	 
87	46.086	0.418	 	 	 	 
88	48.902	0.467	 	 	 	 
89	51.828	0.519	 	 	 	 
90	54.331	0.573	 	 	 	 
91	56.663	0.630	 	 	 	 
92	58.994	0.689	 	 	 	 
93	61.423	0.750	 	 	 	 
94	63.755	0.814	 	 	 	 
95	66.037	0.880	 	 	 	 
96	68.368	0.948	 	 	 	 
97	70.650	1.019	 	 	 	 
98	72.883	1.092	 	 	 	 
99	75.166	1.167	 	 	 	 
100	77.276	1.244	 	 	 	 
101	79.859	1.324	 	 	 	 
102	82.528	1.407	 	 	 	 
103	84.540	1.491	 	 	 	 
104	86.650	1.578	 	 	 	 
105	88.712	1.666	 	 	 	 
106	90.896	1.757	 	 	 	 
107	92.932	1.850	 	 	 	 
108	94.969	1.945	 	 	 	 
109	97.031	2.042	 	 	 	 
110	98.920	2.141	 	 	 	 
111	100.932	2.242	 	 	 	 
112	102.871	2.345	 	 	 	 
113	104.761	2.450	 	 	 	 
114	107.098	2.557	 	 	 	 
115	109.252	2.666	 	 	 	 
116	111.117	2.777	 	 	 	 
117	112.957	2.890	 	 	 	 
118	114.773	3.005	 	 	 	 
119	116.712	3.122	 	 	 	 
120	118.454	3.240	 	 	 	 
121	120.196	3.360	 	 	 	 
122	121.914	3.482	 	 	 	 
123	123.730	3.606	 	 	 	 
124	125.399	3.731	 	 	 	 
125	127.141	3.858	 	 	 	 
126	128.761	3.987	 	 	 	 
127	130.712	4.118	 	 	 	 
128	132.663	4.251	 	 	 	 
129	134.405	4.385	 	 	 	 
130	135.975	4.521	 	 	 	 
131	137.448	4.658	 	 	 	 
132	139.067	4.798	 	 	 	 
133	140.712	4.938	 	 	 	 
134	142.233	5.080	 	 	 	 
135	143.828	5.224	 	 	 	 
136	145.325	5.370	 	 	 	 
