EXPERIMENTAL DATA:c:\digitam\result\jbscal03.xpt       DATE 21-Sep-18
START TIME:  12:09       STOP TIME:  14:33       TOTAL TIME:  2:24
=============================================================================   
TIME	P	Q	P(corr)	Q(corr)	A.INPUT	A.INPUT	REMARK
sec	microW	mJ	microW	mJ	MV	MVs
                                                                                
1	6.307	0.006	 	 	 	 	FIRST PART #1
2	6.282	0.013	 	 	 	 	PAUSE
3	6.184	0.019	 	 	 	 	cond 1
4	6.135	0.025	 	 	 	 
5	6.184	0.031	 	 	 	 
6	6.258	0.037	 	 	 	 
7	6.233	0.044	 	 	 	 
8	6.110	0.050	 	 	 	 
9	6.086	0.056	 	 	 	 
10	6.018	0.062	 	 	 	 
11	6.086	0.068	 	 	 	 
12	6.012	0.074	 	 	 	 
13	5.963	0.080	 	 	 	 
14	6.037	0.086	 	 	 	 
15	5.988	0.092	 	 	 	 
16	5.988	0.098	 	 	 	 
17	5.939	0.104	 	 	 	 
18	5.926	0.110	 	 	 	 
19	5.840	0.116	 	 	 	 
20	5.816	0.121	 	 	 	 
21	5.840	0.127	 	 	 	 
22	5.816	0.133	 	 	 	 
23	5.791	0.139	 	 	 	 
24	5.767	0.145	 	 	 	 
25	5.687	0.150	 	 	 	 
26	5.718	0.156	 	 	 	 
27	5.693	0.162	 	 	 	 
28	5.693	0.167	 	 	 	 
29	5.595	0.173	 	 	 	 
30	5.644	0.179	 	 	 	 
31	5.669	0.184	 	 	 	 
32	5.632	0.190	 	 	 	 
33	5.742	0.196	 	 	 	 
34	5.595	0.201	 	 	 	 
35	5.595	0.207	 	 	 	 
36	5.546	0.212	 	 	 	 
37	5.669	0.218	 	 	 	 
38	5.595	0.224	 	 	 	 
39	5.485	0.229	 	 	 	 
40	5.546	0.235	 	 	 	 
41	5.448	0.240	 	 	 	 
42	5.399	0.246	 	 	 	 
43	5.448	0.251	 	 	 	 
44	5.571	0.257	 	 	 	 
45	5.472	0.262	 	 	 	 
46	5.448	0.267	 	 	 	 
47	5.448	0.273	 	 	 	 
48	5.546	0.278	 	 	 	 
49	5.521	0.284	 	 	 	 
50	5.472	0.289	 	 	 	 
51	5.448	0.295	 	 	 	 
52	5.472	0.300	 	 	 	 
53	5.472	0.306	 	 	 	 
54	5.411	0.311	 	 	 	 
55	5.423	0.317	 	 	 	 
56	5.448	0.322	 	 	 	 
57	5.399	0.328	 	 	 	 
58	5.325	0.333	 	 	 	 
59	5.276	0.338	 	 	 	 
60	5.301	0.343	 	 	 	 
61	5.411	0.005	 	 	 	 	FIRST PART #1
62	5.399	0.011	 	 	 	 	MAIN #1
63	5.423	0.016	 	 	 	 	cond 1
64	5.521	0.022	 	 	 	 
65	5.914	0.028	 	 	 	 
66	6.798	0.034	 	 	 	 
67	7.975	0.042	 	 	 	 
68	9.521	0.052	 	 	 	 
69	11.613	0.064	 	 	 	 
70	13.718	0.077	 	 	 	 
71	15.804	0.093	 	 	 	 
72	18.012	0.111	 	 	 	 
73	20.294	0.131	 	 	 	 
74	22.577	0.154	 	 	 	 
75	25.006	0.179	 	 	 	 
76	27.460	0.206	 	 	 	 
77	30.368	0.237	 	 	 	 
78	33.423	0.270	 	 	 	 
79	35.975	0.306	 	 	 	 
80	38.503	0.345	 	 	 	 
81	40.933	0.386	 	 	 	 
82	43.583	0.429	 	 	 	 
83	46.037	0.475	 	 	 	 
84	48.564	0.524	 	 	 	 
85	51.092	0.575	 	 	 	 
86	53.546	0.628	 	 	 	 
87	56.123	0.685	 	 	 	 
88	58.552	0.743	 	 	 	 
89	60.908	0.804	 	 	 	 
90	63.828	0.868	 	 	 	 
91	66.577	0.934	 	 	 	 
92	68.957	1.003	 	 	 	 
93	71.411	1.075	 	 	 	 
94	73.644	1.148	 	 	 	 
95	76.074	1.225	 	 	 	 
96	78.282	1.303	 	 	 	 
97	80.466	1.383	 	 	 	 
98	82.822	1.466	 	 	 	 
99	85.129	1.551	 	 	 	 
100	87.239	1.638	 	 	 	 
101	89.374	1.728	 	 	 	 
102	91.607	1.819	 	 	 	 
103	94.086	1.914	 	 	 	 
104	96.540	2.010	 	 	 	 
105	98.724	2.109	 	 	 	 
106	100.883	2.210	 	 	 	 
107	102.798	2.312	 	 	 	 
108	104.712	2.417	 	 	 	 
109	106.748	2.524	 	 	 	 
110	108.761	2.633	 	 	 	 
111	110.748	2.743	 	 	 	 
112	112.663	2.856	 	 	 	 
113	114.601	2.971	 	 	 	 
114	116.540	3.087	 	 	 	 
115	118.429	3.206	 	 	 	 
116	120.515	3.326	 	 	 	 
117	122.724	3.449	 	 	 	 
118	124.540	3.573	 	 	 	 
119	126.380	3.700	 	 	 	 
120	128.147	3.828	 	 	 	 
121	129.890	3.958	 	 	 	 
122	131.607	4.090	 	 	 	 
123	133.374	4.223	 	 	 	 
124	135.043	4.358	 	 	 	 
125	136.785	4.495	 	 	 	 
126	138.429	4.633	 	 	 	 
127	140.074	4.773	 	 	 	 
128	141.742	4.915	 	 	 	 
129	143.613	5.059	 	 	 	 
130	145.472	5.204	 	 	 	 
131	147.067	5.351	 	 	 	 
132	148.712	5.500	 	 	 	 
133	150.233	5.650	 	 	 	 
134	151.730	5.802	 	 	 	 
135	153.276	5.955	 	 	 	 
136	154.724	6.110	 	 	 	 
137	156.221	6.266	 	 	 	 
138	157.791	6.424	 	 	 	 
139	159.215	6.583	 	 	 	 
140	160.638	6.744	 	 	 	 
141	162.012	6.906	 	 	 	 
142	163.693	7.069	 	 	 	 
143	165.350	7.235	 	 	 	 
144	166.748	7.401	 	 	 	 
145	168.074	7.570	 	 	 	 
146	169.521	7.739	 	 	 	 
147	170.822	7.910	 	 	 	 
148	172.221	8.082	 	 	 	 
149	173.472	8.256	 	 	 	 
150	174.847	8.430	 	 	 	 
151	176.049	8.606	 	 	 	 
152	177.350	8.784	 	 	 	 
153	178.626	8.962	 	 	 	 
154	180.000	9.142	 	 	 	 
155	181.380	9.324	 	 	 	 
156	182.896	9.507	 	 	 	 
157	184.049	9.691	 	 	 	 
158	185.251	9.876	 	 	 	 
159	186.503	10.063	 	 	 	 
160	187.656	10.250	 	 	 	 
161	188.834	10.439	 	 	 	 
162	190.012	10.629	 	 	 	 
163	191.067	10.820	 	 	 	 
164	192.245	11.012	 	 	 	 
165	193.252	11.206	 	 	 	 
166	194.429	11.400	 	 	 	 
167	195.534	11.596	 	 	 	 
168	196.804	11.792	 	 	 	 
169	198.135	11.990	 	 	 	 
170	199.043	12.190	 	 	 	 
171	200.074	12.390	 	 	 	 
172	201.227	12.591	 	 	 	 
173	202.258	12.793	 	 	 	 
174	203.239	12.996	 	 	 	 
175	204.294	13.201	 	 	 	 
176	205.350	13.406	 	 	 	 
177	206.356	13.612	 	 	 	 
178	207.337	13.820	 	 	 	 
179	208.294	14.028	 	 	 	 
