TIME	P	Q	P(corr)	Q(corr)
s	uW	mJ	uW	mJ
2	-0.578	-0.001	-0.460	0.000
3	-0.480	-0.001	-0.463	-0.001
4	-0.455	-0.002	-0.455	-0.001
5	-0.467	-0.002	-0.440	-0.002
6	-0.504	-0.002	-0.425	-0.002
7	-0.480	-0.003	-0.415	-0.003
8	-0.578	-0.004	-0.416	-0.003
9	-0.431	-0.004	-0.427	-0.003
10	-0.455	-0.004	-0.444	-0.004
11	-0.529	-0.005	-0.464	-0.004
12	-0.652	-0.006	-0.482	-0.005
13	-0.554	-0.006	-0.493	-0.005
14	-0.554	-0.007	-0.495	-0.006
15	-0.504	-0.007	-0.490	-0.006
16	-0.578	-0.008	-0.481	-0.007
17	-0.603	-0.008	-0.471	-0.007
18	-0.560	-0.009	-0.466	-0.008
19	-0.578	-0.010	-0.469	-0.008
20	-0.554	-0.010	-0.481	-0.009
21	-0.529	-0.011	-0.502	-0.009
22	-0.578	-0.011	-0.527	-0.010
23	-0.455	-0.012	-0.554	-0.010
24	-0.554	-0.012	-0.579	-0.011
25	-0.504	-0.013	-0.601	-0.011
26	-0.603	-0.013	-0.617	-0.012
27	-0.554	-0.014	-0.627	-0.013
28	-0.504	-0.014	-0.629	-0.013
29	-0.480	-0.015	-0.624	-0.014
30	-0.603	-0.015	-0.614	-0.015
31	-0.467	-0.016	-0.604	-0.015
32	-0.529	-0.016	-0.598	-0.016
33	-0.504	-0.017	-0.599	-0.016
34	-0.603	-0.018	-0.608	-0.017
35	-0.504	-0.018	-0.622	-0.018
36	-0.578	-0.019	-0.634	-0.018
37	-0.578	-0.019	-0.638	-0.019
38	-0.578	-0.020	-0.635	-0.020
39	-0.554	-0.020	-0.626	-0.020
40	-0.480	-0.021	-0.617	-0.021
41	-0.504	-0.021	-0.615	-0.021
42	-0.554	-0.022	-0.626	-0.022
43	-0.578	-0.022	-0.649	-0.023
44	-0.560	-0.023	-0.682	-0.023
45	-0.554	-0.024	-0.720	-0.024
46	-0.603	-0.024	-0.755	-0.025
47	-0.529	-0.025	-0.781	-0.026
48	-0.578	-0.025	-0.797	-0.026
49	-0.554	-0.026	-0.806	-0.027
50	-0.578	-0.026	-0.814	-0.028
51	-0.578	-0.027	-0.824	-0.029
52	-0.504	-0.028	-0.840	-0.030
53	-0.504	-0.028	-0.860	-0.031
54	-0.578	-0.029	-0.881	-0.031
55	-0.455	-0.029	-0.897	-0.032
56	-0.529	-0.030	-0.906	-0.033
57	-0.523	-0.030	-0.907	-0.034
58	-0.554	-0.031	-0.902	-0.035
59	-0.529	-0.031	-0.892	-0.036
60	-0.554	-0.032	-0.880	-0.037
61	-0.480	-0.032	-0.867	-0.038
62	-0.529	-0.033	-0.851	-0.039
63	-0.529	-0.033	-0.836	-0.039
64	-0.504	-0.034	-0.822	-0.040
65	-0.504	-0.034	-0.811	-0.041
66	-0.406	-0.035	-0.803	-0.042
67	-0.455	-0.035	-0.797	-0.043
68	-0.431	-0.036	-0.792	-0.043
69	-0.455	-0.036	-0.789	-0.044
70	-0.578	-0.037	-0.786	-0.045
71	-0.529	-0.037	-0.780	-0.046
72	-0.504	-0.038	-0.770	-0.047
73	-0.455	-0.038	-0.753	-0.047
74	-0.480	-0.039	-0.726	-0.048
75	-0.431	-0.039	-0.691	-0.049
76	-0.554	-0.040	-0.653	-0.049
77	-0.554	-0.040	-0.617	-0.050
78	-0.578	-0.041	-0.585	-0.051
79	-0.677	-0.041	-0.557	-0.051
80	-0.554	-0.042	-0.529	-0.052
81	-0.627	-0.043	-0.498	-0.052
82	-0.554	-0.043	-0.464	-0.053
83	-0.560	-0.044	-0.433	-0.053
84	-0.554	-0.044	-0.410	-0.053
85	-0.554	-0.045	-0.399	-0.054
86	-0.677	-0.045	-0.403	-0.054
87	-0.578	-0.046	-0.416	-0.055
88	-0.578	-0.047	-0.427	-0.055
89	-0.603	-0.047	-0.428	-0.056
90	-0.603	-0.048	-0.415	-0.056
91	-0.504	-0.048	-0.393	-0.056
92	-0.431	-0.049	-0.368	-0.057
93	-0.504	-0.049	-0.350	-0.057
94	-0.529	-0.050	-0.348	-0.057
