TIME	P	Q
s	uW	mJ
61	-19.215	-0.019
62	-19.264	-0.038
63	-19.190	-0.058
64	-19.288	-0.077
65	-19.239	-0.096
66	-19.215	-0.115
67	-19.215	-0.135
68	-19.215	-0.154
69	-19.215	-0.173
70	-19.190	-0.192
71	-19.239	-0.211
72	-19.239	-0.231
73	-19.166	-0.250
74	-19.215	-0.269
75	-19.190	-0.288
76	-19.215	-0.308
77	-19.190	-0.327
78	-19.166	-0.346
79	-19.215	-0.365
80	-19.190	-0.384
81	-19.215	-0.403
82	-19.190	-0.423
83	-19.325	-0.442
84	-19.264	-0.461
85	-19.239	-0.481
86	-19.190	-0.500
87	-19.141	-0.519
88	-19.288	-0.538
89	-19.264	-0.557
90	-19.288	-0.577
91	-19.166	-0.596
92	-19.288	-0.615
93	-19.288	-0.634
94	-19.239	-0.654
95	-19.264	-0.673
96	-19.288	-0.692
97	-19.190	-0.711
98	-19.233	-0.731
99	-19.117	-0.750
100	-19.239	-0.769
101	-19.239	-0.788
102	-19.313	-0.808
103	-19.239	-0.827
104	-19.362	-0.846
105	-19.252	-0.865
106	-19.239	-0.885
107	-19.288	-0.904
108	-19.239	-0.923
109	-19.239	-0.942
110	-19.264	-0.962
111	-19.166	-0.981
112	-19.288	-1.000
113	-19.337	-1.019
114	-19.239	-1.039
115	-19.264	-1.058
116	-19.264	-1.077
117	-19.337	-1.097
118	-19.337	-1.116
119	-19.313	-1.135
120	-19.307	-1.155
121	-19.288	-1.174
122	-19.215	-1.193
123	-19.313	-1.212
124	-19.239	-1.232
125	-19.264	-1.251
126	-19.411	-1.270
127	-19.270	-1.290
128	-19.288	-1.309
129	-19.313	-1.328
130	-19.313	-1.347
131	-19.215	-1.367
132	-19.215	-1.386
133	-19.288	-1.405
134	-19.196	-1.424
135	-19.190	-1.444
136	-19.288	-1.463
137	-19.215	-1.482
138	-19.264	-1.501
139	-19.313	-1.521
140	-19.215	-1.540
141	-19.215	-1.559
142	-19.313	-1.578
143	-19.288	-1.598
144	-19.362	-1.617
145	-19.313	-1.636
146	-19.387	-1.656
147	-19.239	-1.675
148	-19.337	-1.694
149	-19.307	-1.714
150	-19.264	-1.733
151	-19.288	-1.752
152	-19.288	-1.771
153	-19.215	-1.791
154	-19.166	-1.810
155	-19.337	-1.829
156	-19.270	-1.848
157	-19.288	-1.868
158	-19.313	-1.887
159	-19.288	-1.906
160	-19.166	-1.925
161	-19.215	-1.945
162	-19.215	-1.964
163	-19.288	-1.983
164	-19.215	-2.002
165	-19.313	-2.022
166	-19.264	-2.041
167	-19.166	-2.060
168	-19.190	-2.079
169	-19.166	-2.099
170	-19.215	-2.118
171	-19.141	-2.137
172	-19.190	-2.156
173	-19.239	-2.175
174	-19.092	-2.194
175	-19.067	-2.213
176	-19.190	-2.233
177	-19.264	-2.252
178	-19.288	-2.271
179	-19.215	-2.290
180	-19.166	-2.310
181	-19.215	-2.329
182	-19.264	-2.348
183	-19.166	-2.367
184	-19.239	-2.386
185	-19.252	-2.406
186	-19.239	-2.425
187	-19.166	-2.444
188	-19.117	-2.463
189	-19.166	-2.482
190	-19.239	-2.502
