TIME	P	Q	P(corr)	Q(corr)
s	mW	mJ	mW	mJ
1	0.000	0.000	0.000	0.000
2	0.000	-0.001	0.000	0.000
3	0.000	-0.001	0.000	0.000
4	0.000	-0.001	0.000	0.000
5	0.000	-0.002	0.000	0.000
6	0.000	-0.002	0.000	0.000
7	0.000	-0.002	0.000	0.000
8	0.000	-0.003	0.000	0.001
9	0.000	-0.003	0.000	0.001
10	0.000	-0.003	0.000	0.001
11	0.000	-0.004	0.000	0.001
12	0.000	-0.004	0.000	0.001
13	0.000	-0.005	0.000	0.001
14	0.000	-0.005	0.000	0.002
15	0.000	-0.005	0.000	0.002
16	0.000	-0.006	0.000	0.002
17	0.000	-0.006	0.000	0.002
18	0.000	-0.006	0.000	0.002
19	0.000	-0.007	0.000	0.002
20	0.000	-0.007	0.000	0.002
21	0.000	-0.008	0.000	0.002
22	0.000	-0.008	0.000	0.002
23	0.000	-0.008	0.000	0.002
24	0.000	-0.009	0.000	0.002
25	0.000	-0.009	0.000	0.002
26	0.007	-0.002	0.007	0.009
27	0.007	0.005	0.007	0.016
28	0.007	0.013	0.007	0.024
29	0.007	0.020	0.007	0.031
30	0.007	0.027	0.007	0.038
31	0.007	0.034	0.007	0.045
32	0.007	0.041	0.007	0.053
33	0.007	0.048	0.007	0.060
34	0.007	0.055	0.007	0.067
35	0.007	0.063	0.007	0.074
36	0.007	0.070	0.007	0.082
37	0.007	0.077	0.007	0.089
38	0.007	0.084	0.007	0.096
39	0.007	0.091	0.007	0.103
40	0.007	0.099	0.007	0.111
41	0.007	0.106	0.007	0.118
42	0.007	0.113	0.007	0.125
43	0.007	0.120	0.007	0.132
44	0.007	0.127	0.007	0.140
45	0.007	0.135	0.007	0.147
46	0.007	0.142	0.007	0.154
47	0.007	0.149	0.007	0.161
48	0.007	0.156	0.007	0.169
49	0.007	0.163	0.007	0.176
50	0.007	0.170	0.007	0.183
51	0.007	0.178	0.007	0.190
52	0.007	0.185	0.007	0.198
53	0.007	0.192	0.007	0.205
54	0.007	0.199	0.007	0.212
55	0.007	0.207	0.007	0.219
56	0.007	0.214	0.007	0.227
57	0.007	0.221	0.007	0.234
58	0.007	0.228	0.007	0.241
59	0.007	0.236	0.007	0.248
60	0.007	0.243	0.007	0.256
61	0.007	0.250	0.007	0.263
62	0.007	0.257	0.007	0.270
63	0.007	0.264	0.007	0.277
64	0.007	0.272	0.007	0.284
65	0.007	0.279	0.007	0.292
66	0.007	0.286	0.007	0.299
67	0.007	0.293	0.007	0.306
68	0.007	0.301	0.007	0.313
69	0.007	0.308	0.007	0.321
70	0.007	0.315	0.007	0.328
71	0.007	0.322	0.007	0.335
72	0.007	0.330	0.007	0.342
73	0.007	0.337	0.007	0.349
74	0.007	0.344	0.007	0.357
75	0.007	0.351	0.007	0.364
76	0.007	0.359	0.007	0.371
77	0.007	0.366	0.007	0.378
78	0.007	0.373	0.007	0.386
79	0.007	0.380	0.007	0.393
80	0.007	0.388	0.007	0.400
81	0.007	0.395	0.007	0.407
82	0.007	0.402	0.007	0.414
83	0.007	0.410	0.007	0.422
84	0.007	0.417	0.007	0.429
85	0.007	0.424	0.007	0.436
86	0.007	0.431	0.007	0.443
87	0.007	0.438	0.007	0.450
88	0.007	0.446	0.007	0.458
89	0.007	0.453	0.007	0.465
90	0.007	0.460	0.007	0.472
91	0.007	0.467	0.007	0.479
92	0.007	0.475	0.007	0.486
93	0.007	0.482	0.007	0.494
94	0.007	0.489	0.007	0.501
95	0.007	0.496	0.007	0.508
96	0.007	0.504	0.007	0.515
97	0.007	0.511	0.007	0.522
98	0.007	0.518	0.007	0.530
99	0.007	0.525	0.007	0.537
100	0.007	0.533	0.007	0.544
101	0.007	0.540	0.007	0.551
102	0.007	0.547	0.007	0.558
103	0.007	0.554	0.007	0.566
104	0.007	0.562	0.007	0.573
105	0.007	0.569	0.007	0.580
106	0.007	0.576	0.007	0.587
107	0.007	0.583	0.007	0.594
108	0.007	0.590	0.007	0.602
109	0.007	0.598	0.007	0.609
110	0.007	0.605	0.007	0.616
111	0.007	0.612	0.007	0.623
112	0.007	0.619	0.007	0.630
113	0.007	0.626	0.007	0.638
114	0.007	0.634	0.007	0.645
115	0.007	0.641	0.007	0.652
116	0.007	0.648	0.007	0.659
117	0.007	0.655	0.007	0.667
118	0.007	0.663	0.007	0.674
119	0.007	0.670	0.007	0.681
120	0.007	0.677	0.007	0.688
121	0.007	0.684	0.007	0.695
122	0.007	0.692	0.007	0.703
123	0.007	0.699	0.007	0.710
124	0.007	0.706	0.007	0.717
125	0.007	0.713	0.007	0.724
126	0.007	0.720	0.007	0.732
127	0.007	0.727	0.007	0.739
128	0.007	0.735	0.007	0.746
129	0.007	0.742	0.007	0.753
130	0.007	0.749	0.007	0.761
131	0.007	0.756	0.007	0.768
132	0.007	0.764	0.007	0.775
133	0.007	0.771	0.007	0.782
134	0.007	0.778	0.007	0.789
135	0.007	0.785	0.007	0.797
136	0.007	0.792	0.007	0.804
137	0.007	0.800	0.007	0.811
138	0.007	0.807	0.007	0.818
139	0.007	0.814	0.007	0.826
140	0.007	0.821	0.007	0.833
141	0.007	0.829	0.007	0.840
142	0.007	0.836	0.007	0.847
143	0.007	0.843	0.007	0.855
144	0.007	0.850	0.007	0.862
145	0.007	0.858	0.007	0.869
146	0.007	0.865	0.007	0.876
147	0.007	0.872	0.007	0.884
148	0.007	0.879	0.007	0.891
149	0.007	0.887	0.007	0.898
150	0.007	0.894	0.007	0.905
151	0.007	0.901	0.007	0.913
152	0.007	0.908	0.007	0.920
153	0.007	0.916	0.007	0.927
154	0.007	0.923	0.007	0.934
155	0.007	0.930	0.007	0.942
156	0.007	0.937	0.007	0.949
157	0.007	0.945	0.007	0.956
158	0.007	0.952	0.007	0.963
159	0.007	0.959	0.007	0.970
160	0.007	0.966	0.007	0.978
161	0.007	0.974	0.007	0.985
162	0.007	0.981	0.007	0.992
163	0.007	0.988	0.007	0.999
164	0.007	0.995	0.007	1.007
165	0.007	1.003	0.007	1.014
166	0.007	1.010	0.007	1.021
167	0.007	1.017	0.007	1.028
