Longitud (mm)	Masa 1 (g)	Masa 2 (g)	Masa 3 (g)	Promedio (g)	Desviacion (g)
28	0.08194	0.08196	0.08262	0.0822	0.0004
29	0.08573	0.08673	0.08648	0.0863	0.0005
30	0.09003	0.08884	0.08970	0.0895	0.0006
31	0.09270	0.09322	0.09263	0.0928	0.0003
32	0.09551	0.09536	0.09538	0.0954	0.0001
33	0.09895	0.09825	0.09870	0.0986	0.0004
34	0.10172	0.10176	0.10137	0.1016	0.0002
35	0.10409	0.10318	0.10422	0.1038	0.0006
36	0.10679	0.10593	0.10757	0.1068	0.0008
37	0.10958	0.11015	0.10993	0.1099	0.0003
38	0.11384	0.11327	0.11360	0.1136	0.0003

