"Channel 1_x","Channel 1_y","Channel 2_x","Channel 2_y","Channel 3_x","Channel 3_y"
0.6008615494,0.1748,1.004355907,0.1768,1.411416531,0.1789,
1.815278292,0.1746,2.218962669,0.1767,2.622488022,0.1787,
3.026391745,0.1745,3.43056345,0.1766,3.834081173,0.1786,
4.238373518,0.1745,4.642015457,0.1766,5.045635223,0.1786,
5.449910402,0.1744,5.854122162,0.1764,6.257950068,0.1785,
6.661266565,0.1743,7.064302206,0.1763,7.468153,0.1783,
7.872114897,0.1742,8.276011467,0.1762,8.678895235,0.1783,
9.082292557,0.1741,9.486190796,0.1761,9.889782906,0.1782,
10.29345131,0.174,10.69655967,0.176,11.09972477,0.1781,
11.50334239,0.1739,11.90709901,0.176,12.31057334,0.178,
12.71349549,0.1738,13.11654568,0.1758,13.52059579,0.1779,
13.92432451,0.1737,14.32815576,0.1758,14.73179984,0.1778,
15.13618016,0.1736,15.54003382,0.1756,15.94424629,0.1777,
16.34888482,0.1735,16.75322151,0.1755,17.15702653,0.1776,
17.5611527,0.1734,17.96474934,0.1754,18.36830497,0.1774,
18.77237344,0.1732,19.17583871,0.1753,19.57934451,0.1774,
19.98311448,0.1732,20.38692045,0.1753,20.79094791,0.1772,
21.19446254,0.173,21.59773302,0.1752,22.00126219,0.1772,
22.40442967,0.173,22.80756211,0.1751,23.21041012,0.1771,
23.61574817,0.1729,24.01927876,0.175,24.42317677,0.177,
24.82737184,0.1728,25.2306788,0.1749,25.63469315,0.1769,
26.03909779,0.1727,26.44226456,0.1748,26.84571815,0.1769,
27.2491312,0.1726,27.6519928,0.1747,28.05500269,0.1767,
28.45835185,0.1725,28.86207461,0.1746,29.26575327,0.1766,
29.66919136,0.1725,30.07316685,0.1745,30.47728038,0.1765,
30.88139439,0.1723,31.28483891,0.1744,31.68757939,0.1765,
32.09034085,0.1723,32.49396729,0.1743,32.89811587,0.1763,
33.30265188,0.1722,33.70731878,0.1742,34.11302447,0.1762,
34.51750302,0.1721,34.92221951,0.1741,35.32693291,0.1761,
35.73129702,0.172,36.13526726,0.174,36.5395875,0.1761,
36.94441175,0.1719,37.34862685,0.1739,37.75260305,0.1759,
38.15608859,0.1718,38.55988455,0.1738,38.96370435,0.1759,
39.36766148,0.1716,39.77128744,0.1737,40.17506242,0.1758,
40.57909966,0.1715,40.98336411,0.1736,41.38756251,0.1757,
41.79240537,0.1714,42.19697642,0.1735,42.60119653,0.1755,
43.00599051,0.1713,43.41069651,0.1734,43.81531501,0.1754,
44.21934485,0.1712,44.62996078,0.1733,45.03598928,0.1753,
45.44069362,0.1711,45.84481144,0.1731,46.24862003,0.1752,
46.65225983,0.171,47.0559113,0.1731,47.45975256,0.1751,
47.86417985,0.171,48.26865816,0.173,48.6726141,0.175,
49.07667065,0.1709,49.48117113,0.1729,49.88580084,0.175,
50.29057407,0.1707,50.69456482,0.1728,51.09849429,0.1749,
51.50264478,0.1706,51.90664053,0.1727,52.31048131,0.1748,
52.71391559,0.1705,53.11727571,0.1726,53.52219701,0.1746,
53.92652607,0.1705,54.33056498,0.1725,54.73431969,0.1745,
55.13812089,0.1704,55.54145384,0.1724,55.94533658,0.1744,
56.34908533,0.1703,56.75272346,0.1723,57.15568113,0.1743,
57.55901217,0.1702,57.96262407,0.1722,58.36691046,0.1743,
58.77099133,0.1701,59.17467856,0.1722,59.57848501,0.1742,
59.98204756,0.1699,60.38543487,0.1721,60.78898644,0.1741,
61.19243717,0.1699,61.59570074,0.172,61.99959326,0.174,
62.40398455,0.1698,62.80725574,0.1718,63.21022987,0.1739,
63.61551833,0.1697,64.01929522,0.1717,64.42269516,0.1738,
64.82644749,0.1696,65.2305119,0.1716,65.63745141,0.1737,
66.04388905,0.1696,66.44801068,0.1715,66.85186362,0.1736,
67.2555294,0.1694,67.65866733,0.1714,68.06245518,0.1735,
68.4667604,0.1694,68.87066436,0.1713,69.27468252,0.1734,
69.6782949,0.1693,70.08210158,0.1712,70.48700237,0.1733,
70.89136577,0.1692,71.29516673,0.1711,71.69851065,0.1732,
