Date	Channel1	Channel2	Channel3
2018-10-04 01:09:07	0.23020	0.14930	0.17320
2018-10-04 01:09:17	0.23010	0.14930	0.17330
2018-10-04 01:09:28	0.22960	0.14930	0.17320
2018-10-04 01:09:38	0.22950	0.14930	0.17300
2018-10-04 01:09:48	0.22920	0.14930	0.17280
2018-10-04 01:09:58	0.22920	0.14940	0.17250
2018-10-04 01:10:08	0.22890	0.14940	0.17240
2018-10-04 01:10:18	0.22880	0.14950	0.17230
2018-10-04 01:10:28	0.22830	0.14940	0.17210
2018-10-04 01:10:38	0.22820	0.14950	0.17200
2018-10-04 01:10:48	0.22790	0.14950	0.17180
2018-10-04 01:10:58	0.22790	0.14950	0.17180
2018-10-04 01:11:08	0.22760	0.14950	0.17190
2018-10-04 01:11:18	0.22730	0.14950	0.17200
2018-10-04 01:11:28	0.22710	0.14950	0.17210
2018-10-04 01:11:38	0.22690	0.14940	0.17220
2018-10-04 01:11:48	0.22690	0.14950	0.17220
2018-10-04 01:11:58	0.22650	0.14940	0.17210
2018-10-04 01:12:08	0.22620	0.14940	0.17210
2018-10-04 01:12:19	0.22640	0.14940	0.17210
2018-10-04 01:12:29	0.22600	0.14940	0.17220
2018-10-04 01:12:39	0.22590	0.14940	0.17220
2018-10-04 01:12:49	0.22530	0.14930	0.17210
2018-10-04 01:12:59	0.22540	0.14930	0.17220
2018-10-04 01:13:09	0.22520	0.14940	0.17220
2018-10-04 01:13:19	0.22490	0.15060	0.17210
2018-10-04 01:13:29	0.22470	0.15270	0.17200
2018-10-04 01:13:39	0.22460	0.15500	0.17200
2018-10-04 01:13:49	0.22420	0.15750	0.17210
2018-10-04 01:13:59	0.22420	0.16010	0.17220
2018-10-04 01:14:09	0.22400	0.16270	0.17220
2018-10-04 01:14:19	0.22380	0.16530	0.17230
2018-10-04 01:14:29	0.22350	0.16770	0.17230
2018-10-04 01:14:39	0.22360	0.17010	0.17220
2018-10-04 01:14:49	0.22360	0.17250	0.17220
2018-10-04 01:15:00	0.22320	0.17480	0.17230
2018-10-04 01:15:10	0.22320	0.17670	0.17220
2018-10-04 01:15:20	0.22340	0.17810	0.17220
2018-10-04 01:15:30	0.22300	0.17930	0.17220
2018-10-04 01:15:40	0.22280	0.18080	0.17220
2018-10-04 01:15:50	0.22310	0.18190	0.17220
2018-10-04 01:16:00	0.22280	0.18280	0.17230
2018-10-04 01:16:10	0.22250	0.18350	0.17230
2018-10-04 01:16:20	0.22260	0.18410	0.17220
2018-10-04 01:16:30	0.22270	0.18460	0.17220
2018-10-04 01:16:40	0.22240	0.18500	0.17220
2018-10-04 01:16:50	0.22230	0.18520	0.17220
2018-10-04 01:17:00	0.22220	0.18540	0.17240
2018-10-04 01:17:10	0.22220	0.18560	0.17270
2018-10-04 01:17:20	0.22200	0.18560	0.17290
2018-10-04 01:17:30	0.22170	0.18570	0.17330
2018-10-04 01:17:40	0.22180	0.18570	0.17350
2018-10-04 01:17:51	0.22170	0.18570	0.17370
2018-10-04 01:18:01	0.22170	0.18570	0.17400
2018-10-04 01:18:11	0.22130	0.18570	0.17410
2018-10-04 01:18:21	0.22150	0.18560	0.17430
2018-10-04 01:18:31	0.22160	0.18550	0.17450
2018-10-04 01:18:41	0.22160	0.18540	0.17470
2018-10-04 01:18:51	0.22130	0.18540	0.17490
2018-10-04 01:19:01	0.22150	0.18530	0.17500
2018-10-04 01:19:11	0.22140	0.18530	0.17520
2018-10-04 01:19:21	0.22120	0.18520	0.17530
2018-10-04 01:19:31	0.22100	0.18510	0.17540
2018-10-04 01:19:41	0.22090	0.18510	0.17550
2018-10-04 01:19:51	0.22110	0.18510	0.17550
2018-10-04 01:20:01	0.22070	0.18500	0.17560
2018-10-04 01:20:11	0.22080	0.18500	0.17570
2018-10-04 01:20:21	0.22060	0.18500	0.17580
2018-10-04 01:20:31	0.22080	0.18490	0.17580
2018-10-04 01:20:42	0.22040	0.18490	0.17580
